ISO,2010
ARG,92
AUS,82
BGD,44
BRA,435
BGR,416
CMR,7
CAN,3149
CHL,262
CHN,1033
CRI,25
COD,89
DNK,268
DOM,89
ECU,49
EGY,141
EST,73
ETH,57
FJI,16
FIN,531
FRA,326
DEU,535
GHA,35
HUN,114
IND,576
ISR,264
JAM,10
JPN,168
JOR,41
KEN,29
LBN,85
LTU,202
MDG,31
MWI,30
MUS,20
MEX,191
MAR,25
MOZ,6
NAM,10
NZL,90
NGA,96
NOR,297
PAK,67
PER,157
PHL,72
POL,471
KOR,47
ROU,174
RUS,61
ZAF,274
ESP,1384
SWE,547
UGA,45
UKR,65
GBR,1304
USA,414
VEN,199
ZMB,3
ZWE,9
# Series: TWNCSLPR,
"# Name: Total women in news company positions, senior level professional",
"# Definition: Total women in news company positions, senior level professional",
# Source: International Women’s Media Foundation (IWMF),
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
