ISO,1990,2000,2010,2012
AFG,180.1,137.4,106.7,101.5
ALB,46.1,31,19.7,18.3
DZA,54.1,38.3,23.8,22.2
AND,9.1,5.5,3.8,3.5
AGO,222.6,212.6,181.1,171.2
ATG,26,17.4,11.7,10.9
ARG,30.5,22.3,16.3,15.7
ARM,54.2,33.3,20.2,18.2
AUS,10.3,6.9,5.6,5.4
AUT,10.6,6.1,4.6,4.4
AZE,100.4,77.3,41.5,38
BHS,24.9,18.4,18.9,18.1
BHR,23.9,13,10.4,9.9
BGD,146.4,90.6,50.1,43.7
BRB,19.3,19.1,20.9,19.9
BLR,19,16.4,6.9,5.9
BEL,11.3,6.5,4.9,4.6
BLZ,47.4,27.6,21.2,20.2
BEN,187.3,152.3,100.4,93.4
BTN,136.6,85.2,52.2,48.6
BOL,129.6,82.9,48.9,45.2
BIH,20.4,11.2,8.2,7.3
BWA,52.2,89.6,62,57.5
BRA,67.6,37,18.2,16.1
BRN,13.4,10.3,8.9,8.7
BGR,24.6,23.3,14.3,13.3
BFA,209.3,192.9,119.7,107.5
BDI,173.2,158.4,118.6,110.8
KHM,124,118,48.5,44.2
CMR,142.4,158.8,109,100.8
CAN,9.1,6.8,6,5.7
CPV,66,41.4,26.3,24.5
CAF,178.2,171.1,144.3,134.9
TCD,218.1,197.4,166.2,157
CHL,20.9,11.9,10,9.9
CHN,56.2,39,17,15
COL,39,28.1,20.9,19.6
COM,131,105.2,88.2,83.1
COG,105.5,124.5,107.1,101.4
COK,27.7,19.3,12.4,11.6
CRI,18.8,14.5,11.3,10.8
CIV,163.2,155.6,122.3,115.6
HRV,14.4,9.2,5.7,5
CUB,14.9,9.4,6.6,6.1
CYP,12.2,7.1,3.9,3.5
CZE,16.5,7.3,4.5,4.2
PRK,47.4,64.8,34.6,31.8
COD,179.1,180.3,163.7,153.9
DNK,10,6.1,4.4,4
DJI,125.7,114,91.4,86.3
DMA,18.6,16.9,14.2,13.6
DOM,64.1,43.5,31.7,29.8
ECU,61.1,38.2,27.8,26.1
EGY,85.6,46.6,24.1,22
SLV,64.2,35.3,19.2,17.6
GNQ,189.7,149.5,113.1,105.9
ERI,160.6,96.4,61.2,57
EST,22.9,12.3,4.8,4
ETH,217,155.3,82.5,74.2
FJI,33.8,26.9,25.2,24.9
FIN,7.4,4.7,3.4,3.2
FRA,10.2,6,4.7,4.5
GAB,99,92.1,72.6,67.1
GMB,176.9,121.8,83,77.9
GEO,38.9,38.2,24.2,22.4
DEU,9.6,5.9,4.6,4.5
GHA,135.1,109.9,81.9,77.3
GRC,13.5,8.5,5.1,5.1
GRD,23.9,17.1,15.2,14.6
GTM,85.3,54.7,37.7,35.2
GIN,247.8,177.4,114.5,105.9
GNB,220.3,187.1,147.1,138.6
GUY,66.8,51.9,42.1,39.8
HTI,152.4,112,183.6,81.5
HND,63.9,41.9,27.5,25.5
HUN,21,12.3,7.1,6.7
ISL,7,4.4,2.7,2.5
IND,121.4,86.8,58.3,54.1
IDN,90.3,57.3,37.5,34.7
IRN,57.1,35.8,20.2,18.5
IRQ,57.2,48.5,39.5,37.7
IRL,10.2,7.9,4.6,4.3
ISR,12.4,7.3,4.8,4.5
ITA,10.6,5.9,4.3,4.1
JAM,33.7,26.3,20.1,18.9
JPN,6.9,4.8,3.4,3.2
JOR,38.1,29.1,21.4,20.1
KAZ,60.7,50.3,25.2,21.5
KEN,103.5,116.3,83.8,77.7
KIR,99.7,76.1,67.6,64.6
KWT,17.6,13.9,12.1,11.9
KGZ,76.6,54.8,34,29.7
LAO,170.3,126.2,83.5,76.6
LVA,22.9,18.7,10.2,9.4
LBN,34.3,20.9,10.6,9.7
