ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,15.19,14.8,14.3,13.9,13.4,12.75,13.57,13.73,13.35,12.95,12.98
DZA,28.1,27.98,27.94,28.02,29.29,15.24,11.9,25.66,23.7,17.7,15.3,12.3,13.8,11.3,10.2,10,10,11,9.8
ARG,,,,,,,,22.45,17.25,13.62,11.58,10.18,8.48,7.88,8.68,7.75,7.15,7.2,7.08
ARM,,9.34,10.8,9.42,11.23,11.71,10.4,10.78,10.13,9.6,8.2,7.53,6.99,16.37,18.74,19.01,18.44,17.31,15.94
AUS,8.47,8.5,8.37,7.68,6.87,6.27,6.77,6.38,5.92,5.38,5.05,4.78,4.38,4.24,5.58,5.22,5.08,5.22,5.66
AUT,3.94,4.33,4.4,4.47,3.94,3.62,3.62,4.18,4.29,4.94,5.18,4.72,4.44,3.8,4.78,4.42,4.15,4.38,4.89
AZE,,,,,12.75,11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.68,5.64
BGD,2.4,2.5,2.5,2.5,2.5,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,5.1,5.1,5,5,5
BRB,19.62,15.78,14.5,12.22,10.42,9.75,9.85,10.3,11,9.58,9.08,8.72,7.42,8.12,9.98,10.75,11.2,11.6,11.2
BEL,9.69,9.55,9.22,9.34,8.44,6.95,6.72,7.62,8.18,8.32,8.41,8.2,7.48,7.08,7.86,8.25,7.23,7.64,8.38
BOL,3.6,3.8,3.7,4.2,7.2,7.4,6.4,6.7,7.2,7,8,7.8,7.5,7.5,7.9,7.8,7.6,7.5,7.4
BIH,,,,,,,,,,,,,45.07,41.43,42.85,44.19,44.64,45.43,
BRA,8.67,10.14,10.58,14.2,14.12,13.33,11.3,11.68,12.32,11.48,9.82,9.98,9.29,7.89,8.08,6.74,5.98,5.5,5.4
BGR,11.37,11.05,14.04,12.2,13.79,18.14,17.51,17.43,14.25,12.67,11.46,9.61,7.75,6.31,7.59,9.47,9.59,11.09,11.32
CAN,9.47,9.61,9.09,8.29,7.57,6.83,7.27,7.67,7.58,7.18,6.76,6.3,6.06,6.15,8.29,7.99,7.44,7.31,7.08
CHL,7.38,6.5,6.11,6.22,10.01,9.71,9.87,9.8,9.53,10.02,9.3,7.95,7.01,7.75,9.63,7.12,6.6,6.06,5.67
CHN,3.8,4,4.2,4.1,4.2,4.4,4.8,5.4,5.5,5.7,5.8,5.8,5.7,5.9,6.3,6.1,6.5,6.5,6.6
COL,5.24,7.24,7.55,9.46,13.16,13.95,14.98,15.58,14.09,13.65,11.81,12.03,11.18,11.26,12.02,11.78,10.83,10.38,9.65
CRI,5.2,6.2,5.7,5.6,6,5.2,6.1,6.4,6.7,6.5,6.6,6,4.6,4.9,7.8,7.29,7.66,7.77,8.5
HRV,14.52,16.41,17.48,17.65,19.09,21.07,22,22.29,19.52,18.21,18.01,16.93,15.12,13.39,14.88,17.57,17.79,19.06,20.27
CUB,8.3,7.6,7,6.2,6.26,5.44,4.08,3.31,3,1.85,1.95,1.91,1.79,1.58,1.67,2.5,3.2,3.5,3.3
CYP,2.6,3.08,3.39,3.33,5.97,4.8,3.91,3.52,4.12,4.61,5.35,4.54,3.9,3.66,5.42,6.28,7.91,11.89,16.01
CZE,,,,,,,,,,,6.62,6.05,4.92,4.11,6.21,6.98,6.67,6.78,7.72
DNK,10.14,8.7,7.79,6.48,5.58,5.39,4.64,4.78,5.72,5.83,5.1,3.81,3.56,2.6,4.65,6.02,5.98,5.96,5.66
DOM,15.8,16.7,15.9,14.4,13.8,13.9,15.2,16.1,17,18.4,17.9,16.2,15.6,14,14.9,14.4,14.6,14.3,15
ECU,6.9,10.4,9.2,11.5,14.4,9,10.9,9.3,11.6,8.6,7.9,7.8,6.87,6.92,8.48,7.59,6,4.93,4.74
EGY,11.3,9.6,8.4,8.2,8.1,9,9.2,10.2,11,10.3,11.2,10.6,8.9,8.7,9.4,9,12,12.7,14.7
SLV,7.65,7.68,7.97,7.31,6.96,6.96,6.96,6.23,6.92,6.78,7.22,6.57,6.33,5.88,7.33,7.05,6.62,6.07,6.3
EST,9.72,9.95,9.65,9.85,12.22,14.6,13,11.22,10.32,10.12,8.02,5.92,4.6,5.42,13.58,16.7,12.32,10,8.7
FIN,15.12,14.89,12.68,11.38,10.25,9.59,9.12,9.1,9.08,8.86,8.33,7.72,6.88,6.43,8.16,8.38,7.78,7.73,8.15
FRA,9.68,10.12,10.3,9.88,9.58,8.18,7.4,7.52,8.15,8.5,8.5,8.48,7.68,7.08,8.75,8.9,8.78,9.4,9.9
GAB,,,21,30,,,,,,,,,,,,,,,
GEO,,,7.6,12.37,12.64,10.35,11.16,12.6,11.51,12.64,13.78,13.6,13.28,16.48,16.87,16.3,15.06,15.03,15
DEU,8.24,8.94,9.68,9.42,8.61,7.99,7.85,8.68,9.78,10.48,11.27,10.18,8.72,7.52,7.79,7.08,5.95,5.47,5.31
GRC,,,,11.11,11.95,11.22,10.68,10.31,9.76,10.49,9.88,8.86,8.28,7.7,9.48,12.56,17.71,24.33,27.3
HND,4.17,4.31,3.95,3.94,3.7,3.9,4.4,4.1,5.4,6,4.8,3.45,3.05,2.99,3.13,3.95,4.27,4.4,4.5
HUN,10.2,9.5,8,7.2,6.7,6.2,5.5,5.9,5.5,6.3,7.3,7.5,7.7,8,10.5,10.8,10.7,10.7,9.1
ISL,5,4.37,3.88,2.8,1.88,1.34,1.4,2.51,3.37,3.1,2.05,1.29,1,1.64,8.02,8.13,7.42,6.02,5.39
IND,9.94,9.92,10.19,10.25,10.14,10.2,10.07,9.61,9.4,8.95,8.47,8.91,8.58,8.39,8.2,7.9,8.1,9.1,9.1
IDN,7.8,4.89,4.68,5.46,6.36,6.08,8.1,9.06,9.57,9.86,11.24,10.28,9.11,8.39,7.87,7.14,6.56,5.79,5.8
IRN,11.5,10.7,10.7,11,13,16,16.2,14,12.2,11.2,12.1,12.1,10.6,10.4,11.9,13.5,14.1,15.5,16
IRL,12.18,11.69,10.4,7.4,5.58,4.25,3.92,4.45,4.58,4.5,4.38,4.48,4.68,6.38,12,13.85,14.62,14.68,13.08
ISR,,8.35,9.58,10.65,11.08,10.98,11.65,12.85,13.35,12.95,11.22,10.48,9.15,7.6,9.4,8.25,6.98,6.85,6.2
ITA,11.15,11.15,11.24,11.33,10.94,10.1,9.1,8.61,8.45,7.98,7.71,6.8,6.1,6.78,7.82,8.42,8.41,10.68,12.24
JAM,16.2,16,16.5,15.5,15.7,15.5,15,15.1,11.4,11.7,11.2,10.3,9.8,10.3,11.3,12.4,12.7,13.7,14.9
JPN,3.15,3.35,3.4,4.11,4.68,4.72,5.03,5.38,5.26,4.72,4.42,4.13,3.84,3.97,5.05,5.02,4.58,4.35,4.02
JOR,12,12,12,12.7,13.4,13.7,14.7,14,,14.2,,,13.1,12.7,12.9,12.5,12.9,12.2,12.6
KAZ,10.98,12.96,13.01,13.12,13.46,12.75,10.48,9.37,8.8,8.4,8.11,7.79,7.26,6.62,6.58,5.78,5.4,5.29,5.22
KIR,0.2,,,,,1.6,,,,,6.1,,,,,,,,
KGZ,,,,,,7.5,7.8,12.5,9.9,8.5,8.1,8.3,8.2,8.2,8.4,8.6,,,
LAO,2.6,,,,,,,,,,1.4,,,,,,,,
LVA,6.34,7.02,7.47,7.58,9.69,8.4,7.8,8.89,8.64,8.75,8,7.02,5.66,5.31,12.07,15.61,12.76,11.37,9.86
LBN,,7.2,12.3,,,,,,,,,,,,,,,,
LTU,,,,13.21,14.6,16.38,17.36,13.77,12.42,11.38,8.27,5.62,4.25,5.82,13.78,17.81,15.39,13.36,11.77
LUX,2.62,2.86,3.08,2.85,2.7,2.4,2.24,2.5,3.32,3.73,4.12,4.27,4.21,4.18,5.49,5.84,5.68,6.12,6.87
MKD,,31.87,36,34.48,32.41,32.25,30.52,31.94,36.69,37.16,37.25,36.03,34.94,33.76,32.18,32.02,31.38,31.02,28.7
MDG,,,,,,5.8,5.3,,5,,2.6,,,,,,,,
MYS,2.8,2.5,2.5,3.22,3.42,3.1,3.68,3.48,3.6,3.5,3.5,3.3,3.2,3.3,3.7,3.38,3.05,3.02,3.1
MLI,8.9,8.6,8.3,8.5,8.2,8.3,8.3,8.4,8.6,8.8,8.5,8.3,8.5,8.4,8.5,8.1,8.1,8.1,
MLT,,,,,,6.76,7.62,7.43,7.72,7.22,6.91,6.89,6.47,6.05,6.92,6.92,6.48,6.41,6.48
MHL,,34.3,34.8,30.6,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,,,,,
MRT,,,,,,20.6,,,,32.5,,,,31.2,,,,,
MUS,5.1,5.8,6.6,6.9,7.7,5.07,6.8,7.2,7.7,8.4,9.6,9.1,8.5,7.2,7.3,7.8,7.9,8.1,8.2
MEX,,,,,,2.58,2.76,2.98,3.41,3.92,3.6,3.59,3.72,3.97,5.47,5.37,5.23,4.95,4.92
FSM,,,,,,22,,,,,,,,,,,,,
MNG,,,,5.9,,,,6.2,6.8,,,,7.2,5.6,5.9,6.5,4.8,,
MAR,22.9,18.1,17.49,20.13,13.8,13.4,12.3,11.3,11.4,10.8,11,9.7,9.8,9.6,9.1,9.1,8.9,9,9.2
MMR,4.15,4.1,4.08,4.1,4.1,4.1,4,4.7,5.3,5.2,5,5.3,5.2,5,4.9,5.7,5.5,5.4,5.2
NLD,7.02,6.44,5.42,4.3,3.56,3.04,2.58,3.08,4.14,5.09,5.3,4.33,3.58,3.06,3.71,4.47,4.42,5.27,6.7
NZL,6.45,6.3,6.88,7.72,7.05,6.15,5.45,5.28,4.75,4.05,3.82,3.82,3.68,4.12,6.15,6.52,6.52,6.9,6.2
NIC,16.91,15.95,13.65,13.21,10.68,5.96,11.3,11,7,6.54,5.56,5.13,5.85,6.06,8.24,7.83,7.28,7.43,7.2
NER,5.1,5.1,5.1,5.1,5,5,5,5,5,5,5,5,5,5.1,5,5.1,5.1,5.1,
