ISO,2009,2010,2011,2012,2013
ALB,63,0,0,0,0
ARG,775,936,950,924,789
ARM,0,0,0,1,1
AUS,7,5,8,10,9
AUT,381,375,525,529,171
BGD,8683,8417,8201,6896,6041
BLR,0,0,3,3,3
BEL,237,119,117,113,97
BEN,1137,852,860,841,1101
BOL,393,189,201,194,198
BRA,1281,2182,2427,2155,1694
BRN,7,19,30,28,24
BFA,625,795,794,798,862
BDI,3,1,0,2,2
KHM,93,265,220,349,322
CAN,14,27,17,10,17
TCD,1,1,1,1,1118
CHL,503,509,511,501,462
CHN,1844,1845,1761,1746,1820
COG,1,0,0,0,0
CIV,0,0,0,0,125
HRV,103,101,90,97,5
CYP,2,2,2,2,2
DNK,138,133,2,12,14
DOM,0,0,0,0,1
ECU,68,68,68,66,69
EGY,4755,5059,3573,3043,2236
SLV,52,52,52,52,87
EST,0,0,0,0,1
ETH,1992,2193,5815,5442,6089
FJI,221,207,304,189,674
FIN,70,3,2,174,321
FRA,1412,1350,1239,845,853
GMB,187,191,189,192,211
DEU,235,223,220,150,209
GHA,2947,2333,2361,2344,2504
GRC,51,48,50,53,59
GTM,256,283,276,272,262
GIN,0,0,0,0,149
GNB,0,0,0,0,2
HND,0,0,0,0,1
HUN,82,70,67,66,67
IND,7918,7525,6972,6727,6788
IDN,1466,1585,1784,1520,1336
IRL,405,9,426,342,315
ITA,2288,1626,1038,1037,1062
JPN,33,258,258,273,264
JOR,2132,2012,2034,1664,1683
KEN,760,745,720,695,696
LSO,0,1,0,1,1
LBR,0,0,0,0,49
LUX,0,0,0,0,2
MKD,1,1,1,1,1
MWI,109,3,839,845,850
MYS,760,817,873,876,843
MLI,2,2,0,0,1
MRT,0,0,0,0,4
MNG,376,192,43,873,864
MAR,1557,1551,1574,1595,1586
NAM,7,2,5,5,6
NPL,3397,3437,2751,3577,3589
NLD,3,3,0,4,12
NZL,1,1,1,1,1
NER,384,384,925,926,1796
NGA,4728,4608,4699,4619,3899
NOR,125,6,4,12,15
PAK,9759,9570,8429,8320,7580
PLW,0,0,1,1,0
PNG,0,0,1,0,0
PRY,48,148,179,172,128
PER,213,372,364,366,358
PHL,609,603,581,586,588
POL,19,0,0,0,0
PRT,127,118,125,0,0
QAT,3,3,3,3,3
KOR,364,596,604,356,583
MDA,0,0,0,1,1
ROU,1,0,0,2,2
RUS,239,142,125,4,5
RWA,3442,3456,3191,4149,4185
SEN,1609,1534,1551,1323,1895
SRB,25,18,61,94,183
SLE,60,132,131,131,13
SVK,191,183,146,151,145
SVN,14,14,14,14,14
ZAF,1706,1796,1683,1717,1825
ESP,958,997,1008,668,556
LKA,959,1109,1111,1017,1013
SWE,2,3,1,3,6
CHE,0,0,2,2,6
TZA,346,939,982,987,2213
THA,8,417,819,4,9
TGO,773,515,524,524,1451
TUN,7,4,2,3,4
TUR,581,472,350,477,203
UGA,2,1,1,3,2
UKR,279,277,277,436,514
GBR,243,246,261,262,269
USA,11,12,13,18,20
URY,2311,2285,2087,2021,2007
YEM,12,9,9,6,18
ZMB,632,500,8,5,10
ZWE,4,2,1,1,2
EAZ,5789,6810,7288,6812,7337
ECZ,8275,6539,6156,5555,5114
GLS,80628,80094,80528,77520,80146
HIS,10497,9416,8929,7695,7529
LCS,5900,7024,7115,6723,6056
LIS,22000,22331,26145,26359,30744
LMS,38356,37128,33681,33107,31639
NAS,25,39,30,28,37
SAZ,30716,30058,27464,26537,25011
SSS,21457,20986,25280,25551,31061
UMS,9775,11219,11773,10359,10234
# Series: UNNCTMAW,,,,,
"# Name: UN peacekeepers, number of contingent troops, male",,,,,
# Definition: UN peacekeepers number of male contingent troops,,,,,
# Source: UN Peacekeeping,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
