ISO,2009,2010,2011,2012,2013
DZA,0,0,0,0,0
ARG,0,0,0,0,0
AUS,3,3,1,1,0
AUT,0,0,0,0,0
BGD,0,9,0,0,0
BLR,0,0,0,0,0
BEL,0,0,0,0,0
BEN,1,1,2,1,1
BOL,1,2,3,1,5
BIH,0,0,0,0,0
BRA,0,0,0,0,1
BGR,0,0,0,0,1
BFA,0,0,0,0,0
BDI,1,2,1,1,1
KHM,0,0,0,0,0
CMR,2,3,2,1,1
CAN,0,2,1,0,2
TCD,0,0,0,0,0
CHL,0,0,0,0,0
CHN,0,0,0,0,0
HRV,0,1,1,2,2
CZE,0,0,0,0,0
DNK,0,2,0,2,0
DJI,0,0,0,0,0
ECU,0,0,0,0,0
EGY,0,0,0,0,0
SLV,1,0,0,0,0
EST,0,0,0,0,0
ETH,5,4,6,14,5
FJI,0,0,0,0,0
FIN,0,0,0,0,0
FRA,2,0,1,0,0
GMB,1,1,0,1,1
DEU,1,0,0,0,0
GHA,6,5,3,6,9
GRC,0,0,0,0,0
GTM,0,1,0,1,0
GIN,0,0,0,0,0
HND,0,0,0,0,0
HUN,0,2,0,0,0
IND,2,2,3,2,2
IDN,2,2,0,0,0
IRN,0,0,0,0,0
IRL,0,0,0,0,0
ITA,0,0,0,0,0
JPN,0,0,0,0,0
JOR,0,0,0,0,0
KEN,3,4,4,3,6
KGZ,1,0,0,0,0
LTU,0,0,0,0,0
MWI,4,1,0,1,1
MYS,3,2,1,3,2
MLI,0,0,0,0,0
MNG,1,1,2,1,3
MNE,0,0,0,0,0
MAR,0,0,0,0,0
MOZ,0,0,0,0,0
NAM,2,4,2,2,1
NPL,0,1,1,0,0
NLD,2,1,1,1,1
NZL,2,1,2,2,1
NER,0,0,1,2,0
NGA,7,8,4,3,1
NOR,1,3,2,1,2
PAK,0,0,0,0,0
PLW,0,0,0,0,0
PNG,0,0,0,0,0
PRY,0,0,0,0,1
PER,2,1,0,1,2
PHL,1,1,1,0,0
POL,0,0,0,0,0
PRT,0,0,0,0,0
KOR,2,1,2,2,2
MDA,1,0,0,0,0
ROU,2,2,0,1,0
RUS,0,0,0,0,0
RWA,1,0,0,0,0
SEN,0,0,0,0,0
SRB,0,0,0,0,0
SLE,0,0,0,0,0
SGP,0,0,0,0,0
SVK,0,0,0,0,0
SVN,0,0,1,0,0
ZAF,2,4,5,3,4
ESP,0,0,0,0,0
LKA,0,0,0,0,0
SWE,0,0,0,0,1
CHE,1,1,1,0,0
TZA,3,5,2,4,5
THA,1,0,1,1,5
TLS,0,0,0,0,0
TGO,0,0,0,0,0
TUN,0,0,0,0,0
TUR,0,0,0,0,0
UGA,2,3,0,0,0
UKR,0,1,1,0,1
GBR,0,0,0,0,0
USA,1,5,1,2,2
URY,0,0,0,1,0
YEM,0,0,0,0,0
ZMB,8,6,9,4,8
ZWE,9,9,5,2,6
EAZ,15,11,10,10,13
ECZ,11,13,8,7,8
GLS,90,107,73,73,86
HIS,15,20,14,14,13
LIS,31,40,22,29,26
LMS,32,32,28,19,31
MES,0,0,0,0,0
NAS,1,7,2,2,4
SAZ,2,12,4,2,2
SSS,57,60,46,48,50
UMS,12,15,9,11,16
# Series: UNNMEFEW,,,,,
"# Name: UN peacekeepers, number of military experts, female",,,,,
# Definition: UN peacekeepers number of female military experts,,,,,
# Source: UN Peacekeeping,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
