ISO,2009,2010,2011,2012,2013
DZA,0,5,0,5,5
ARG,8,6,6,6,7
AUS,21,22,21,19,21
AUT,11,11,9,8,7
BGD,98,91,77,85,70
BLR,0,0,0,0,0
BEL,10,11,6,5,2
BEN,26,27,23,26,19
BOL,30,28,10,14,18
BIH,5,5,5,5,5
BRA,46,46,29,16,23
BGR,1,2,2,2,1
BFA,17,23,17,15,22
BDI,6,5,1,8,8
KHM,5,4,2,4,8
CMR,7,5,6,4,4
CAN,39,27,20,20,11
TCD,3,3,3,4,2
CHL,7,5,4,5,5
CHN,53,56,40,37,39
HRV,16,15,15,13,14
CZE,5,4,5,5,6
DNK,27,21,19,15,16
DJI,2,2,2,2,0
ECU,14,11,11,8,11
EGY,99,105,80,95,74
SLV,14,12,10,10,11
EST,1,1,2,1,3
ETH,14,19,93,90,100
FJI,7,7,6,2,2
FIN,19,20,19,23,24
FRA,24,20,20,21,16
GMB,2,5,5,4,4
DEU,26,26,7,10,12
GHA,50,49,49,49,51
GRC,4,4,0,0,0
GTM,14,20,20,11,8
GIN,14,17,6,11,8
HND,12,12,12,12,12
HUN,6,5,7,7,7
IND,75,82,76,71,48
IDN,26,31,26,21,25
IRN,2,2,2,2,2
IRL,20,20,20,20,17
ITA,21,20,17,17,18
JPN,6,8,2,0,0
JOR,59,59,49,368,47
KEN,25,27,27,26,19
KGZ,8,9,5,5,8
LTU,0,0,0,0,1
MWI,22,22,25,17,14
MYS,45,52,39,31,27
MLI,18,27,31,18,16
MNG,7,7,6,10,7
MNE,2,2,2,2,2
MAR,5,6,5,6,1
MOZ,3,1,1,1,1
NAM,12,15,12,13,15
NPL,60,53,52,60,58
NLD,16,23,12,13,14
NZL,10,11,11,10,10
NER,24,23,24,15,20
NGA,79,68,71,60,52
NOR,27,27,20,19,16
PAK,115,111,95,90,82
PLW,0,0,0,1,0
PNG,0,0,0,2,0
PRY,48,36,29,30,36
PER,23,22,14,20,25
PHL,22,21,13,12,7
POL,14,12,14,8,8
PRT,4,4,5,2,1
KOR,23,23,15,14,14
MDA,7,8,8,8,8
ROU,48,46,34,32,37
RUS,76,79,68,67,61
RWA,19,20,13,17,17
SEN,52,42,45,48,34
SRB,7,9,9,10,8
SLE,12,16,9,11,12
SGP,2,2,2,0,0
SVK,2,2,3,2,2
SVN,2,2,2,3,5
ZAF,30,24,15,20,16
ESP,3,4,2,0,0
LKA,13,14,11,13,12
SWE,24,21,21,25,20
CHE,17,19,15,18,16
TZA,24,25,15,24,22
THA,16,4,9,8,5
TLS,0,0,1,2,3
TGO,17,15,17,16,19
TUN,470,35,38,33,40
TUR,1,1,1,2,2
UGA,3,10,6,6,6
UKR,27,27,22,24,19
GBR,7,7,5,4,0
USA,7,8,6,6,4
URY,56,54,50,41,21
YEM,63,64,55,72,84
ZMB,48,39,35,31,30
ZWE,18,10,4,8,9
EAZ,243,248,193,173,168
ECZ,488,487,401,396,376
GLS,2655,2188,1910,2212,1779
HIS,547,533,437,414,365
LIS,438,452,456,471,462
LMS,815,789,687,697,626
MES,700,278,231,583,253
NAS,46,35,26,26,15
SAZ,361,351,311,319,270
SSS,545,537,553,542,520
UMS,855,414,330,630,326
# Series: UNNMEMAW,,,,,
"# Name: UN peacekeepers, number of military experts, male",,,,,
# Definition: UN peacekeepers number of male military experts,,,,,
# Source: UN Peacekeeping,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
