ISO,2009,2010,2011,2012,2013
ALB,0,0,0,0,1
ARG,30,39,29,29,29
AUS,17,62,63,20,16
AUT,46,0,0,0,0
BGD,1593,1723,1868,1623,1602
BEL,0,0,1,2,0
BEN,127,105,105,107,121
BIH,18,16,21,37,41
BRA,10,23,16,8,12
BFA,54,205,222,243,259
BDI,60,80,72,98,127
CMR,134,68,73,90,71
CAN,104,121,135,102,72
CAF,15,35,30,18,0
TCD,52,73,56,56,47
CHL,3,12,12,10,12
CHN,173,90,71,32,164
COL,26,31,30,10,26
CIV,119,131,129,140,156
HRV,10,11,11,7,7
CZE,5,4,4,0,0
COD,0,25,27,15,12
DJI,51,39,34,38,170
EGY,286,230,430,439,432
SLV,39,29,29,10,4
ETH,8,8,9,20,28
FJI,43,44,44,32,57
FIN,6,2,0,0,1
FRA,93,88,51,53,43
GMB,129,168,157,84,154
DEU,16,16,15,16,16
GHA,379,225,249,160,150
GRD,1,3,2,0,2
GIN,69,66,43,32,46
GNB,0,5,0,0,0
HUN,0,0,0,1,1
ISL,1,0,0,0,0
IND,622,947,929,908,870
IDN,155,152,151,154,151
IRL,13,14,14,10,10
ITA,5,15,5,5,3
JAM,20,18,11,7,5
JOR,1605,1897,1969,1453,1513
KAZ,0,7,0,4,0
KEN,34,23,22,37,43
KGZ,12,9,14,11,17
LBY,3,0,0,0,0
LTU,0,2,2,0,4
MDG,50,51,51,61,50
MWI,46,26,1,40,9
MYS,243,281,233,47,26
MLI,54,84,79,43,53
MNE,1,2,4,4,4
NAM,26,27,18,7,41
NPL,782,840,693,684,810
NLD,14,16,1,13,15
NZL,19,9,3,0,0
NER,125,127,164,158,104
NGA,663,729,577,478,551
NOR,17,18,14,13,20
PAK,857,916,867,516,576
PLW,1,0,0,0,0
PHL,380,238,227,85,63
POL,3,3,3,2,3
PRT,192,194,181,0,1
KOR,4,4,3,0,0
ROU,33,35,28,34,34
RUS,47,34,14,14,34
RWA,148,177,304,318,321
WSM,16,11,3,4,10
SEN,582,779,733,718,1032
SRB,9,9,8,13,7
SLE,52,106,181,119,49
SGP,20,15,7,0,0
SVK,0,0,0,0,0
SVN,1,0,0,0,0
ZAF,109,112,46,51,34
ESP,34,33,25,14,9
LKA,93,89,81,37,39
SWE,24,25,20,29,17
CHE,7,8,3,4,5
TJK,6,9,9,10,18
TZA,59,116,86,193,158
THA,13,29,11,7,9
TGO,48,175,147,175,318
TUN,28,0,0,57,117
TUR,167,153,146,149,131
UGA,145,137,25,27,39
UKR,61,59,65,52,70
GBR,0,0,0,2,0
USA,48,56,92,87,82
URY,15,10,10,14,14
VUT,42,0,0,0,4
YEM,150,150,239,240,233
ZMB,264,110,239,159,39
ZWE,93,84,51,35,66
EAZ,1126,935,816,381,500
ECZ,841,782,659,499,512
GLS,11977,12947,12847,10834,11710
HIS,764,772,689,417,384
LIS,3761,4457,4416,4207,4451
LMS,4893,4902,5055,4228,4621
NAS,152,177,227,189,154
SAZ,3947,4515,4438,3768,3897
SSS,3644,4057,3896,3682,4078
UMS,2559,2816,2687,1982,2254
# Series: UNNPCMAW,,,,,
"# Name: UN peacekeepers, number of police, male",,,,,
"# Definition: UN Peacekeeping, Number of police office (formed police units and individual police)",,,,,
# Source: UN Peacekeeping,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
