ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,35.4,,,34.5,36.2,,,,,,,,,,
DZA,,,,,,,19.8,,21.6,21.4,,,,18.9,,,16.8,
ARG,,,26.3,27.2,29.2,29.8,30.8,31.4,35,37.3,36.8,37.4,,,,46.9,53.9,41.5
ARM,,,,,,,,,,,,,65.8,70.2,71,70,65.5,
AUS,36.4,35.6,33.1,34.1,40.8,40.5,34.5,32.6,31.5,31.8,28.7,37.6,36.1,34.5,,,,
AUT,57.4,59.1,61.3,61,61.4,59.1,58.1,59.8,56.6,55.4,55,55.1,53.9,57.1,,,,
AZE,,,,,,,,,82.4,83.3,83.5,82.5,76.9,72.8,55.2,57.3,58.9,60
BHS,56.2,61.7,61,58.6,54.1,,64.9,61.6,77,75.3,76.1,73.6,84.3,,,,60,
BHR,,,36.9,37.9,34.4,35.6,,32.3,35.2,38.1,37.4,40.1,37.2,,,57.1,,
BGD,,32.2,,,,22.9,,,,,28.2,,,,,,,
BRB,70.2,63.8,69.1,66.7,69.6,67.3,73.3,70.3,70.4,,,,,,,,,
BLR,13.7,13.6,11.9,11,10.2,10.6,9.8,11.1,11.7,33.7,32.2,33.3,32.9,34,,,,
BEL,30.5,28.7,30.4,30.9,31.4,31.6,34,33.9,34.7,35.3,37.3,35.9,37.1,37.2,,,,
BLZ,11.8,18,12,15.1,10.4,,,,,,15.1,,,,,,,
BTN,,,,,,,,,,,,17.6,,,18.2,21.7,18.8,19.4
BOL,,44.2,43.3,,37.3,30.8,,,,,46.6,,,57.4,39.9,,,
BIH,,,,,,,,,,,,69.8,70.9,71.8,69.9,72.7,71.8,73.4
BWA,,,,,,,22.8,,,,,,,,,,,
BRA,,,,,,,18.7,22.3,23.7,26.3,26.7,28.9,30,,,,41.5,
BRN,,,,,,,5,3.8,5.1,,,,,,,,,
BGR,,,52.2,51.2,50.9,54.3,53.8,54.7,51.3,52.3,51.7,50.6,52.4,49.7,,,,
BFA,9.3,8.2,10.5,12.8,11.3,16.7,,,,,,,,,,,,
CAN,29.6,30.1,28.9,43.4,42.7,43.2,42.1,41.4,41.9,43.6,43.4,42.8,43.6,43.2,,,,
CAF,3.8,,,,,,,,,,,,,,,,,
