ISO,2013
AFG,no
ALB,no
DZA,no
AGO,no
ARG,yes
ARM,no
AUS,yes
AUT,yes
BGD,no
BEL,no
BOL,yes
BIH,no
BWA,yes
BRA,no
BFA,no
BDI,no
CMR,yes
CAN,yes
CPV,no
CHL,yes
COL,no
COG,no
CRI,yes
CIV,yes
HRV,yes
CYP,yes
CZE,yes
COD,no
DNK,no
DJI,no
DOM,no
ECU,no
EGY,no
SLV,yes
ERI,no
FRA,yes
GEO,no
DEU,yes
GHA,no
GRC,yes
GTM,yes
GIN,no
GUY,no
HTI,no
HND,no
HUN,yes
ISL,yes
IND,no
IDN,no
IRQ,no
IRL,no
ISR,yes
ITA,yes
JOR,no
KAZ,no
KEN,yes
KGZ,no
LBN,no
LSO,no
LBR,no
LBY,no
LTU,yes
LUX,yes
MKD,no
MWI,yes
MLI,yes
MLT,yes
MRT,no
MUS,no
MEX,yes
MNE,no
MAR,no
MOZ,yes
NAM,yes
NPL,no
NLD,yes
NIC,yes
NER,yes
NOR,yes
PAK,no
PAN,no
PRY,yes
PER,no
PHL,yes
POL,no
PRT,no
KOR,yes
MDA,no
ROU,yes
RWA,no
SEN,no
SRB,no
SLE,no
SVK,yes
SVN,yes
SOM,no
ZAF,yes
SSD,no
ESP,yes
LKA,no
SDN,no
SWZ,no
SWE,yes
CHE,yes
TZA,yes
THA,yes
TLS,no
TTO,no
TUN,no
TUR,yes
UGA,no
GBR,yes
URY,yes
UZB,no
VEN,no
ZWE,yes
# Series: VPOLPQFW,
# Name: Voluntary political party quotas for women,
# Definition: Voluntary political party quotas for women,
# Source: The Quota Project,
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
