ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,4.3,7.5,10.6,13.7,16.9,20,22.9,25.7,28.6,31.5,34.3,37.2,40.1,42.9,45.8,48.7,51.6,54.5
ALB,34.4,34.1,33.8,33.5,32.4,31.2,30,28.7,27.4,26.1,24.9,23.7,22.5,21.4,20.3,19.3,18.3,17.3
DZA,22.6,21.7,20.8,19.9,18.9,17.9,16.9,16,15.1,14.1,13.2,12.4,11.5,10.7,10.5,10.3,10.1,10
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,35.1,34.9,34.7,34.5,34.3,34.1,34,33.9,33.7,33.7,33.6,33.5,33.5,33.5,33.4,33.4,33.5,33.5
ATG,29.2,27.7,26.3,24.9,23.5,22.1,20.7,19.3,17.8,16.4,15,13.6,12.2,12.2,12.2,12.2,12.2,
ARG,20.9,19.6,18.3,17,15.7,14.5,13.2,12,10.7,9.5,8.3,7.1,5.9,4.7,3.5,2.3,1.1,0.1
ARM,7.7,7,6.8,6.6,6.3,6.1,5.9,5.7,5.5,5.2,5,4.7,4.5,4.3,4,3.8,3.5,3.3
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,26.8,27.1,27.4,27.7,28,28.2,28.5,28.7,28.9,29.1,29.3,29.4,29.6,29.8,29.7,29.6,29.5,29.4
BHS,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.3,3.3,3.3
BHR,42,35,28,21,14,7,0,0,0,0,0,0,0,0,0,0,0,0
BGD,66.5,67.1,67.6,68.2,68.7,69.3,69.8,70.3,70.8,71.3,71.8,72.3,72.8,73.2,73.7,74.1,74.5,74.9
BRB,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
BLR,30.9,30.7,30.4,29.1,27.8,26.4,25.1,23.8,22.5,21.2,20,18.8,17.6,16.4,15.2,14.1,12.9,11.8
BEL,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,25.8,25.4,25.1,24.7,24.4,24.1,23.8,23.5,23.2,22.9,22.7,22.4,22.1,21.8,21.5,21.2,20.9,20.2
BEN,54.1,54.5,54.9,55.3,55.7,56.1,56.5,56.9,57.3,57.7,58,58.3,58.6,59,59.2,59.5,59.8,59.7
BTN,,,32.3,32.1,31.9,31.7,31.5,32.5,33.5,34.4,35.3,36.3,37.2,38.2,39.1,40,40.8,41.7
BOL,16,15.3,14.7,14,13.3,12.6,11.9,11.2,10.6,9.9,9.2,8.5,7.9,7.2,6.5,5.9,5.2,5.2
BIH,15.1,15,14.9,14.9,14.6,14.4,14.2,14,13.7,13.5,13.3,13.1,12.9,12.7,12.5,12.3,12.2,12
BWA,59.4,57.4,55.4,53.4,51.3,49.2,47.1,45,42.8,40.7,38.5,36.3,34,31.8,29.5,27.3,27,26.7
BRA,8.5,8.3,8,7.7,7.4,7.2,7,6.9,6.7,6.5,6.4,6.2,6.1,5.9,5.8,5.7,5.5,5.4
BGR,12.1,11.5,10.9,10.3,9.7,9.1,8.5,7.9,7.3,6.7,6.1,5.6,5,4.4,3.8,3.3,2.7,2.2
BFA,48.5,50.1,51.7,53.4,55,56.6,58.2,59.8,61.4,62.9,64.4,65.9,67.4,68.9,70.3,71.7,73.1,74.4
BDI,67,67.2,67.3,67.5,67.6,67.8,67.9,68,68.1,68.3,68.4,68.5,68.5,68.6,68.7,68.8,68.8,68.9
KHM,25.9,27.6,29.2,30.9,32.5,34.2,35.8,37.4,39.1,40.7,42.3,43.9,45.5,47.1,48.7,50.3,51.9,53.5
CMR,44.4,45.2,46,46.8,47.6,48.4,49.2,50,50.8,51.6,52.4,53.2,54,54.8,55.6,56.3,57.1,57.9
CAN,13.6,13.4,13.2,13,12.7,12.5,12.3,12.3,12.2,12.2,12.1,,,,,,,
CPV,62.9,62.6,62,60.6,58.5,56.4,54.3,52.3,50.3,48.4,46.5,44.6,42.7,40.9,39.1,37.4,35.6,33.9
CAF,57.2,57.8,58.3,58.9,59.4,59.9,60.5,61,61.5,62.1,62.6,63.2,63.7,64.3,64.9,65.4,66,66.6
TCD,39.7,40,40.3,40.5,40.8,41.1,41.4,41.6,41.9,42.2,42.5,42.7,43,43.3,43.6,43.8,44.1,44.4
CHL,2,1.8,1.7,1.5,1.4,1.2,1,0.9,0.8,0.6,0.5,0.4,0.2,0.1,0,0,0,0
CHN,31.3,30.7,30.2,29.6,29.1,28.5,27.9,27.2,26.6,25.9,25.2,24.6,23.9,23.3,22.6,22,21.5,21
COL,9.3,8.9,8.5,8.2,7.8,7.5,7.1,6.8,6.5,6.2,5.8,5.5,5.2,4.9,4.7,4.4,4.1,3.8
COM,69,68.7,68.4,68,67.7,67.4,67,66.7,66.4,66.1,65.7,65.4,65.4,65.4,65.4,65.4,,
COG,,,41.7,41.8,41.9,42,42.1,42.8,43.6,44.3,45.1,45.8,46.5,47.3,48,48.7,49.5,50.2
COK,29.9,29.9,29.9,29.9,29.9,29.5,29,28.5,28,27.5,27.1,26.6,26.1,25.6,25.2,24.7,24.2,23.7
CRI,7.6,7.1,6.6,6.2,5.7,5.2,4.7,4.3,3.8,3.3,2.8,2.4,1.9,1.5,1.3,1.1,0.9,0.7
CIV,50.4,49.8,49.3,48.8,48.2,47.6,47,46.3,45.7,45.1,44.5,43.8,43.2,42.5,41.8,41.1,40.5,39.8
HRV,,,11.4,11.4,11.3,11.3,11.3,11.3,11.2,11.2,11.2,11.1,11.1,11.1,11,,,
CUB,20.4,20.3,20.1,19.9,19.7,19.4,19.2,19,18.8,18.7,18.5,18.4,18.2,18,17.8,17.7,17.5,17.3
CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,,,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,,,
PRK,26.8,26.8,25.8,24.7,23.5,22.3,21.1,19.9,18.8,17.6,16.4,15.2,14,12.8,11.6,10.4,9.3,9.2
COD,30,30.4,30.8,31.2,31.7,32.1,32.6,33,33.5,34,34.5,35,35.6,36.1,36.7,37.3,37.9,38.5
DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJI,22.7,23,23.3,23.6,23.9,24.2,24.5,24.8,25.1,25.4,25.7,26,26.3,26.6,27.5,28.5,28.8,28.8
DMA,25.9,25.9,26,26,26,26,26.1,26.1,26.1,26.1,26.1,26.1,26.1,,,,,
DOM,14.9,14.8,14.7,14.7,14.6,14.5,14.5,14.4,14.4,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.4
ECU,11.9,11.3,10.6,9.9,9.3,8.6,8,7.3,6.7,6.1,5.4,4.8,4.2,3.6,3,2.4,1.9,1.3
EGY,25,23.6,22.2,20.7,19.2,17.7,16.2,14.8,13.3,11.8,10.4,8.9,7.4,6,4.5,3.2,3.2,3.2
SLV,28.6,27.8,26.9,26,25.3,24.5,23.8,23.1,22.3,21.6,20.9,20.2,19.4,18.7,18,17.2,17.1,17
GNQ,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,,,,,,
ERI,39.2,40.6,42,43.5,44.9,46.3,47.7,49.1,50.5,51.9,51.8,51.7,51.6,51.5,,,,
EST,16.9,16.2,15.4,14.7,14,13.2,12.4,11.6,10.8,10.1,9.3,8.5,7.7,6.9,6.1,5.3,4.6,3.8
ETH,17.3,18.9,20.4,22,23.4,24.9,26.3,27.8,29.2,30.6,32,33.4,34.8,36.2,37.5,38.9,40.2,41.5
FJI,27.3,27.2,27.1,27.2,27.2,27.2,27.2,27.2,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.1,26.9,26.8
FIN,4.2,3.9,3.5,3.1,2.8,2.4,2.1,1.7,1.4,1,0.9,0.7,0.6,0.6,0.6,0.6,0.6,0.6
FRA,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0
GAB,45.3,45.5,45.7,46,45.2,44.4,43.5,42.5,41.6,40.5,39.5,38.4,37.2,36.1,34.9,33.7,32.5,31.2
GMB,64,63.7,63.5,63.2,62.9,62.6,62.2,61.9,61.5,61.1,60.8,60.4,59.9,59.5,59.1,58.7,58.2,57.8
GEO,31.3,30.7,30,29.4,28.7,28.1,27.4,26.7,26,25.2,24.5,23.7,22.9,22.2,21.4,20.7,19.9,19
DEU,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0
GHA,45.7,47.1,48.6,50,51.4,52.8,54.1,55.5,56.8,58.1,59.4,60.7,61.9,63.2,64.4,65.6,66.8,67.9
GRC,2.7,2.4,2.1,1.8,1.5,1.2,0.9,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
GRD,,,,,8.8,8.8,8.7,8.7,8.7,8.7,8.7,8.6,8.6,8.6,8.6,8.5,8.5,
GTM,26.8,25.7,24.5,23.3,22.2,21,19.9,18.7,17.6,16.4,15.3,14.1,12.9,11.8,10.6,9.5,8.3,8.2
GIN,50.7,51.5,52.2,52.9,53.6,54.3,55,55.7,56.3,57,57.6,58.3,58.9,59.5,60.1,60.7,61.2,61.8
GNB,39.1,40.6,42.2,43.8,45.4,47.1,48.8,50.4,52.1,53.9,55.6,57.4,59.2,61,62.8,64.7,66.5,68.4
GUY,25.6,25.9,26.2,26.5,26.8,27.1,27.4,27.7,28,28.3,28.6,28.9,29.2,29.4,29.7,30,30.3,30.3
HTI,52.4,52.3,52.2,52.1,52,52,52.1,52.2,52.3,52.4,52.6,52.7,52.9,53,53.2,53.4,53.5,53.7
HND,10.1,9.6,9.1,8.5,8,7.5,7,6.5,6,5.5,5,4.5,4,3.5,3,2.5,2,1.5
