ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,4.9,8.4,11.8,15.2,18.7,22.1,25.6,29.1,32.5,36,39.5,43,46.5,50,53.5,57.1,60.6,64.2
ALB,96.4,96.5,96.5,96.5,96.5,96.5,96.4,96.4,96.3,96.3,96.2,96.2,96.1,96,96,95.9,95.8,95.7
DZA,92.8,92.1,91.4,90.8,90.1,89.4,88.7,88.1,87.4,86.6,85.9,85.2,84.4,83.7,83.7,83.8,83.9,83.9
AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AGO,43.4,43.8,44.2,44.6,45.1,45.7,46.2,46.8,47.4,48.1,48.8,49.5,50.2,51,51.8,52.6,53.4,54.3
ATG,97.6,97.6,97.6,97.6,97.7,97.7,97.7,97.7,97.8,97.8,97.8,97.8,97.9,97.9,97.9,97.9,97.9,97.9
ARG,95.2,95.5,95.8,96,96.2,96.5,96.7,96.9,97.1,97.3,97.5,97.7,97.9,98.1,98.2,98.4,98.6,98.7
ARM,90.5,90.4,90.9,91.5,92,92.6,93.1,93.7,94.3,94.9,95.5,96.1,96.7,97.3,98,98.6,99.2,99.8
AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AZE,70.7,71.3,71.9,72.5,73.2,74,74.8,75.6,76.3,77.1,77.9,78.6,79.3,80.1,80.1,80.2,80.2,80.2
BHS,96.3,96.3,96.3,96.3,96.4,96.6,96.7,96.9,97,97.2,97.3,97.5,97.6,97.8,97.9,98.1,98.2,98.4
BHR,96,96.6,97.1,97.7,98.3,98.9,99.4,100,100,100,100,100,100,100,100,100,100,100
BGD,72.1,72.9,73.6,74.4,75.2,76,76.7,77.5,78.3,79,79.8,80.5,81.2,82,82.7,83.4,84.1,84.8
BRB,97.3,97.6,98,98.4,98.7,99.1,99.5,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8
BLR,99.5,99.5,99.5,99.5,99.5,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6
BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BLZ,79,80.2,81.4,82.7,83.9,85.1,86.3,87.5,88.7,89.9,91.1,92.3,93.5,94.7,96,97.2,98.5,99.3
BEN,61.7,62.6,63.5,64.3,65.2,66.1,67,67.9,68.8,69.7,70.6,71.5,72.4,73.3,74.2,75.1,76,76.1
BTN,,,85.6,85.8,86,86.1,86.3,87.6,88.7,89.9,91,92.1,93.2,94.2,95.2,96.2,97.1,98.1
BOL,74.2,75.2,76.1,77.1,78,78.9,79.8,80.7,81.5,82.4,83.2,84.1,84.9,85.7,86.5,87.3,88,88.1
BIH,97.2,97.2,97.2,97.2,97.4,97.6,97.8,97.9,98.1,98.3,98.4,98.6,98.8,98.9,99.1,99.2,99.4,99.6
BWA,93.6,93.9,94.1,94.4,94.6,94.8,95.1,95.3,95.5,95.7,95.9,96.1,96.2,96.4,96.6,96.8,96.8,96.8
BRA,91.1,91.6,92.1,92.5,93,93.5,93.8,94.2,94.6,94.9,95.3,95.6,95.9,96.3,96.6,96.9,97.2,97.5
BGR,99.8,99.8,99.8,99.8,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.6,99.6,99.5,99.5,99.5,99.5,99.5
BFA,50.7,52.5,54.3,56.2,58,59.9,61.8,63.6,65.4,67.3,69.1,71,72.8,74.6,76.4,78.2,80,81.7
BDI,70.3,70.6,70.9,71.2,71.5,71.8,72.1,72.4,72.7,73,73.3,73.5,73.8,74.1,74.4,74.7,75,75.3
KHM,29.1,31.6,34.1,36.6,39,41.5,44,46.4,48.9,51.4,53.9,56.4,58.8,61.3,63.8,66.3,68.8,71.3
CMR,56.5,57.6,58.6,59.7,60.7,61.7,62.8,63.8,64.9,65.9,66.9,68,69,70,71,72.1,73.1,74.1
CAN,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8
CPV,80.5,80.5,81.1,81.6,82.1,82.7,83.2,83.8,84.3,84.8,85.4,85.9,86.5,87.1,87.6,88.2,88.7,89.3
CAF,60.2,60.6,61.1,61.6,62,62.5,62.9,63.4,63.8,64.3,64.8,65.2,65.7,66.2,66.7,67.2,67.7,68.2
TCD,42.3,42.8,43.3,43.7,44.2,44.7,45.2,45.7,46.2,46.7,47.2,47.7,48.2,48.7,49.2,49.7,50.2,50.7
CHL,92.7,93.1,93.5,94,94.4,94.8,95.2,95.6,96,96.4,96.7,97,97.4,97.7,97.9,98.2,98.5,98.8
CHN,73.7,75,76.3,77.6,78.9,80.1,81.4,82.7,83.9,85.1,86.3,87.4,88.5,89.5,90.5,91.5,91.7,91.9
COL,89.2,89.4,89.5,89.6,89.7,89.9,90,90.1,90.2,90.3,90.5,90.6,90.7,90.8,90.9,91,91.1,91.2
COM,89.5,90,90.5,91,91.5,92,92.5,93,93.5,94,94.6,95.1,95.1,95.1,95.1,95.1,,
COG,,,68.3,68.6,68.9,69.2,69.5,70.1,70.6,71.2,71.7,72.2,72.8,73.3,73.8,74.3,74.8,75.3
COK,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
CRI,94.2,94.4,94.6,94.7,94.9,95,95.2,95.3,95.4,95.6,95.7,95.8,96,96.1,96.2,96.3,96.4,96.6
CIV,76.7,76.8,77,77.1,77.3,77.5,77.7,77.9,78.1,78.3,78.6,78.8,79,79.2,79.5,79.7,79.9,80.2
HRV,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.6
CUB,89.6,89.7,89.9,90,90.3,90.7,91,91.3,91.6,91.8,92.1,92.4,92.6,92.9,93.2,93.5,93.8,94
CYP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
