ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,49.1,48.2,47.3,46.4,45.4,44.5,43.6,42.6,41.7,40.8,39.9,38.9,38,37.1,36.1,35.2,34.3,33.4
ALB,3.6,3.6,3.6,3.6,3.6,3.6,3.9,4.2,4.5,4.8,5.1,5.4,5.6,5.9,6.1,6.1,6.2,6.2
DZA,11.8,12.5,13.2,13.8,14.5,15.2,15.9,16.6,17.1,17.6,18.2,18.7,19.2,19.8,19.8,19.8,19.8,19.8
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,27.3,26.6,25.9,25.1,24.4,23.6,22.9,22.2,21.4,20.7,19.9,19.2,18.5,17.7,17,16.3,15.5,14.8
ATG,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1
ARG,15.1,14.4,13.7,13,12.3,11.6,10.9,10.2,9.5,8.8,8.1,7.4,6.7,6,5.3,4.6,3.9,3.2
ARM,24.1,24.1,22.6,21.1,19.6,18.1,16.6,15.1,13.6,12.1,10.6,9.1,7.6,6.1,4.6,3.1,1.6,0
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,30.1,28.7,27.2,25.8,24.6,23.4,22.2,20.9,19.7,18.5,17.3,16.1,14.9,13.7,13.7,13.7,13.7,13.7
BHS,3.7,3.7,3.7,3.7,3.6,3.4,3.3,3.1,3,2.8,2.7,2.5,2.4,2.2,2.1,1.9,1.8,1.6
BHR,4,3.4,2.9,2.3,1.7,1.1,0.6,0,0,0,0,0,0,0,0,0,0,0
BGD,25.2,24.6,24,23.4,22.8,22.2,21.6,21.1,20.5,19.9,19.3,18.7,18.1,17.5,16.9,16.4,15.8,15.2
BRB,2.7,2.4,2,1.6,1.3,0.9,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BLR,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1,1
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,22.5,21.2,19.9,18.5,17.2,15.9,14.6,13.2,11.9,10.6,9.3,7.9,6.6,5.3,4,2.6,1,0
BEN,22.8,22.9,23.1,23.2,23.3,23.5,23.6,23.7,23.8,24,24.1,24.2,24.4,24.5,24.6,24.7,24.9,24.9
BTN,,,3.4,3.4,3.4,3.4,3.4,3.2,3,2.8,2.6,2.3,2.1,1.9,1.7,1.4,1.2,1
BOL,15.3,14.7,14,13.4,12.7,12.1,11.5,10.8,10.2,9.5,8.9,8.2,7.6,6.9,6.3,5.6,5,5
BIH,3.9,3.9,3.9,3.9,3.6,3.4,3.2,2.9,2.7,2.4,2.2,1.9,1.7,1.4,1.2,0.9,0.6,0.4
BWA,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3.2,3.2
BRA,16.5,16.2,15.9,15.6,15.3,15,14.7,14.4,14.1,13.9,13.6,13.3,13,12.7,12.4,12.1,11.8,11.5
BGR,0.4,0.4,0.5,0.5,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5
BFA,45.7,44.1,42.6,41,39.5,37.9,36.4,34.8,33.3,31.7,30.2,28.6,27.1,25.5,23.9,22.4,20.8,19.3
BDI,20.7,20.3,19.9,19.5,19.1,18.7,18.3,17.9,17.5,17.1,16.7,16.3,15.9,15.5,15.1,14.7,14.3,13.9
KHM,39.5,38.2,36.9,35.6,34.3,33,31.8,30.5,29.2,27.9,26.6,25.3,24.1,22.8,21.5,20.2,18.9,17.6
CMR,41.8,41.3,40.7,40.1,39.6,39,38.4,37.9,37.3,36.7,36.2,35.6,35,34.5,33.9,33.3,32.8,32.2
CAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CPV,19.2,19.2,18.9,18.6,18.3,17.9,17.6,17.3,17,16.7,16.4,16.1,15.8,15.5,15.2,14.7,14.3,13.9
CAF,35.9,36.2,36.5,36.8,37.1,37.4,37.7,38,38.3,38.6,38.9,39.2,39.5,39.8,40.1,40.4,40.7,41.1
TCD,47.7,47.9,48.2,48.4,48.7,48.9,49.2,49.4,49.7,49.9,50.2,50.4,50.7,50.9,51.2,51.4,51.7,51.9
