ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,0,0,0,0,0,0,0.3,0.7,1,1.3,1.7,2,2.3,2.7,3,3.3,3.7,4
ALB,40.4,40.4,40.4,40.4,42,43.7,45.3,46.9,48.5,50.1,51.8,53.4,55,56.6,58.2,59.9,61.5,63.1
DZA,49.5,50,50.5,51,51.6,52.1,52.6,53.1,53.7,54.2,54.7,55.2,55.7,56.3,56.3,56.3,56.3,56.3
AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AGO,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5
ATG,68.4,69.8,71.3,72.7,74.2,75.6,77,78.5,79.9,81.4,82.8,84.2,85.7,85.7,85.7,85.7,85.7,
ARG,31.4,35,38.7,42.4,46.1,49.8,53.5,57.2,60.9,64.5,68.2,71.9,75.6,79.3,83,86.7,90.3,94
ARM,58.1,60.2,62.2,64.2,66.3,68.3,70.4,72.4,74.4,76.5,78.5,80.5,82.6,84.6,86.6,88.7,90.7,92.7
AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AZE,16.9,17.1,17.3,17.5,17.7,17.9,18.1,18.3,18.5,18.7,18.9,19.1,19.3,19.5,19.5,19.5,19.5,19.5
BHS,92.6,92.6,92.6,92.6,92.8,93,93.2,93.3,93.5,93.7,93.8,94,94.2,94.4,94.5,94.7,94.9,95.1
BHR,54,61.6,69.1,76.7,84.3,91.9,99.4,100,100,100,100,100,100,100,100,100,100,100
BGD,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1
BRB,95,95.3,95.6,95.9,96.2,96.5,96.8,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1
BLR,27,27,27,29.4,31.9,34.3,36.7,39.2,41.6,44,46.4,48.9,51.3,53.7,56.2,58.6,61,63.5
BEL,97.6,97.9,98.3,98.6,98.9,99.2,99.6,99.9,100,100,100,100,100,100,100,100,100,100
BLZ,32.1,34.4,36.7,39,41.4,43.7,46,48.3,50.6,52.9,55.2,57.5,59.9,62.2,64.5,66.8,69.1,71.4
