ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,7.9,,,,,,,,
ALB,,,,,,12.9,,,,,7.3,,,,11.5,,,
DZA,9.7,,,,,3.3,,10,,,3.9,,,,,,,
AGO,,8.3,,,,,,,,,,,8.2,,,,,
ARG,,,,,,,,,,,1.1,,,,,,,
ARM,,,,4.3,,2.6,,,,,5.8,,,,,4.9,,
AZE,,,,,,9.3,,,,,,7.8,,,,,,
BGD,17.1,17.6,22,17.2,16.2,13.3,14.5,13.9,14.2,15.7,13.4,13.4,18.4,,,,16,
BLR,,,,,,,,,,,2.8,,,,,,,
BLZ,,,,,,,,,,,,2.4,,,,,3.2,
BEN,,19.2,,,,,10.2,,,,,9,,,,,,
BTN,,,,,3.3,,,,,,,,,5.1,,6.2,,
BOL,,,,1.8,,,,,1.9,,,,,2,,,,
BIH,,,,,,8.3,,,,,,3.8,,,,,,2.3
BWA,,,,,,6.6,,,,,,,7.5,,,,,
BRA,,3,,,,,,,,,,,1.8,,,,,
BGR,,,,,,,,,,3.4,,,,,,,,
BFA,,,,,17.2,,,,21.8,,,26.2,,,11.9,16.5,,
BDI,,,,,,9.2,,,,,,,,,,6.6,,
KHM,,15.5,,,,18,,,,,8.3,,,9.7,,11.2,,
CMR,,,,8.7,,,,,,5.8,,8.2,,,,,6.6,
CAF,,,,,,11.6,,,,,,13.3,,,,,,
TCD,,,17.8,,,13.7,,,,17.1,,,,,,,,
CHL,,,,,,,,,,,,,,0.3,,,,
CHN,5.7,,,2.6,,2.8,,3.3,,,3.2,,,3.1,3.5,2.4,,
COL,1.7,,,,,1.1,,,,,1.7,,,,,0.9,,
COM,,12.2,,,,14.4,,,,,,,,,,,,
COG,,,,,,,,,,,8.4,,,,,,,
CRI,,,,,,,,,,,,,,0.6,,,,
CIV,,,,7,,,,,,,,9,15.3,,,,,
CZE,,,,,,,5.2,,,,,,,,,,,
PRK,,,,,,,,9.3,,,,,,,5,,,
DJI,,,,,,,,20.3,,,,26.5,,,,,,22.7
DOM,,2.4,,,,1.6,,2.5,,,,,2.5,,,,,
ECU,,,,,,,,,,2.2,,,,,,,,
EGY,5.8,,,,,3.4,,,5.3,,5.7,,,8.8,,,,
SLV,,,,1.8,,,,,1.4,,,,,2.4,,,,
GNQ,,,4.7,,,8.4,,,,2.3,,,,,,,,
ERI,20.7,,,,,,,16.8,,,,,,,,,,
ETH,,,,,,13.9,,,,,13.7,,,,,,11.5,
FJI,,,,,,,,,,4.7,,,,,,,,
GAB,,,,,,4.3,,,,,,,,,,,,3.7
GMB,,,,,,9.4,,,,,,8.1,,,,,,
GEO,,,,,,,,,,,3,,,,1.8,,,
DEU,,,,,,,,,,,1.2,,,,,,,
GHA,,,,,11.2,,,,8.4,,,6.8,,9.7,,,,
GTM,4.6,,,,3.5,,,2.1,,,,,,,1.1,,,
GIN,,,,,10.8,,,,,,11.7,,8.9,,,,,6.6
GNB,,,,,,12.6,,,,,,9.3,,4.6,,,,
GUY,,,,,,13.5,,,,,,7.7,,,6.9,,,
HTI,,,,,,6.2,,,,,,10.2,,,,,,
HND,,2,,,,,1.3,,,,,1.6,,,,,,
IND,,,,,20.5,,,,,,,20.7,,,,,,
IDN,,,,,,6.4,6.2,,,15.3,,,15.7,,,12.5,,
IRQ,,,,,,7,,,,,,6.2,,,,,,
JAM,3.8,2.6,3.1,3.3,3,2.8,3,2.7,,4.3,,3.3,2.3,2.1,,4.9,,
JOR,,,2.3,,,,,2.9,,,,,,,1.6,,,
KAZ,7.5,,,,4,,,,,,,5.3,,,,4.4,,
KEN,,,,9,,8.2,,,7.5,,,,,,8.2,,,
KWT,,,,,,,2.5,2.1,2.6,3.7,3.5,2.4,3.5,2.6,1.5,2.6,2,2.4
KGZ,,,3.7,,,,,,,,,3.5,,,,,,
LAO,,,,,,18.8,,,,,,7.8,,,,,,
LBN,,4.2,,,,,,,,7.8,,,,,,,,
LSO,,,,,,7.4,,,,5.8,,,,,4.2,,,
LBR,,,,,,8.9,,,,,,,7.9,,,,,
LBY,3.8,,,,,,,,,,,,6.8,,,,,
MKD,,,,,1.8,,,,,,2.4,,,,,,7.6,
MDG,,,12.1,,,,,,,18,,,,,,,,
MWI,,,,,,6.7,,,,7,,4.8,,,2,4.4,,
MDV,,,30.7,,,,14.3,,,,,,,,13.5,,,
MLI,,29.2,,,,,13.5,,,,,16.2,,,,,,
MRT,,,,,,17.2,,,,,,,14.2,9.4,,,,13.1
MEX,,,,3,,,,,,,,2.5,,,,,,1.8
MNG,,,,,4.5,7.3,,,,0.6,2.6,,,,,,,
MNE,,,,,,,,,,,4.3,,,,,,,
MAR,,,5,,,,,,11.1,,,,,,,,2.8,
MOZ,,,12.9,,,,,,5.8,,,,,4.9,,,6.7,
MMR,,,,,,11.5,,,11.5,,,,,,8.7,,,
NAM,,,,,,10.9,,,,,,,7.3,,,,,
NPL,,15.9,,8.8,,,12.4,,,,,13,,,,,12.3,
NIC,,,,3.9,,,2.7,,,0.4,,1.5,,,,,,
NER,,,,25.5,,17.9,,,,,,13.8,,,,,,
NGA,,,,,,,,,12,,,,13.8,14.8,,,11,
OMN,,,,,8.3,,,,,,,,,,8.1,,,
PAK,,,,,,,15.1,,,,,,,,,,15.5,
PAN,,,1.4,,,,,,,,,,,1.1,,,,
PNG,,,,,,,,,,,4.8,,,,,,,
PER,,1.8,,,,1.2,,,,,1.1,,,0.9,,,,
PHL,,,,,,,,,6.5,,,,,7.4,,,7.5,
KOR,,,,,,,,,0.9,,,,,,,,,
MDA,,,,,,,,,,,6,,,,,,,
RWA,,,,,,9.2,,,,,5,,,,,3.5,,
STP,,,,,,4.4,,,,,,,,11.3,,,,
SAU,,,,,,,,,,,12.7,,,,,,,
SEN,,,,,,11.2,,,,,8.8,,,,,,9.7,9.9
SRB,,,,,,,,,,,4.8,,,,,2.7,,
SLE,,,,,,12.6,,,,,11.7,,,10.4,,10.3,,
SGP,,,,,,3.8,,,,,,,,,,,,
SOM,,,,,,,,,,,,14.4,,,,,,
ZAF,,,,,,,,,,,8.2,,,,,,,
SSD,,,,,,,,,,,,26.2,,,,,,
LKA,,,,,,16.5,,,,,,,16.1,,12.1,,,
SDN,,,,,,19.3,,,,,,15,,,,,,
SUR,,,,,,7.6,,,,,,5.2,,,,5.8,,
SWZ,,,,,,1.6,,,,,,3.5,,,,0.5,,
SYR,,,,,,,10.5,,,,,11.4,,,12.5,,,
TJK,,,,,,,,,,,9,,6.8,,,,,
TZA,,9.6,,,6.1,,,,,4,,,,,,5.8,,
THA,,,,,,,,,,,,4.6,,,,,,
TGO,,,,13.4,,,,,,,,17,,6.1,,5.9,,
TTO,,,,,,5.8,,,,,,,,,,,,
TUN,,,,,,,,,,,,3.6,,,,,,
TUR,,,,3.4,,,,,,1.5,,,,,,,,
UGA,7.9,,,,,6.2,,,,,,7.7,,,,,4.8,
UKR,,,,,,8.5,,,,,,,,,,,,
USA,,,,,,,0.6,0.8,,,,,,,,,,
URY,,,,,2.5,,,2.6,3.1,3,,,2.9,,,,1.1,
UZB,,13.5,,,,,,8.7,,,,5.3,,,,,,
VUT,,,,,,,,,,,,,6.2,,,,,
VNM,,,,,12,7.1,,9.5,11.5,11.9,11.3,10.5,10.8,10.2,,4.6,,
YEM,,,17.6,,,,,,16.8,,,,,,,,,
ZMB,,6.4,,,6.2,,,6.6,,,,,6,,,,,
ZWE,,,,,8.9,,,,,,7.6,,,,,3.7,,
AAE,5.7,,,2.6,,9.4625,,7.36667,,,6.04,,,7.6,5.73333,7.675,,
ASA,,,,,,,0.6,0.8,,,,,,,,,,
ASE,,,,,13.3333,,,,,,,15.7,,,,,,
EAM,5.7,,,2.6,,7.1,,9.3,,,4.8,,,7.4,5,4.6,,
NAN,,,,,,,0.6,0.8,,,,,,,,,,
SAM,,,,,16.2,,,,,,,13.4,,,,,,
EAE,3.60921,,,1.63716,,3.16605,,2.51898,,,2.49471,,,2.68241,2.43908,3.12137,,
NAE,,,,,,,0.541177,0.721566,,,,,,,,,,
SAE,,,,,16.9259,,,,,,,16.9718,,,,,,
# Series: WASTMAIN,,,,,,,,,,,,,,,,,,
"# Name: Malnutrition prevalence, weight for height, wasting, male",,,,,,,,,,,,,,,,,,
