ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,3.1,4.5,6,7.5,8.9,10.4,11.9,13.3,14.8,16.3,17.7,19.2,20.7,22.1,23.6,25,26.5,28
ALB,96,96,96,96,95.7,95.3,95,94.6,94.3,93.9,93.6,93.2,92.9,92.5,92.2,91.8,91.5,91.1
DZA,86.5,86,85.5,85,84.5,84.1,83.6,83.1,82.6,82.1,81.6,81.2,80.7,80.2,80.2,80.2,80.2,80.2
AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AGO,18,18.9,19.8,20.7,21.7,22.6,23.5,24.4,25.4,26.3,27.2,28.1,29.1,30,30.9,31.8,32.8,33.7
ATG,68.4,69.8,71.3,72.7,74.2,75.6,77,78.5,79.9,81.4,82.8,84.2,85.7,85.7,85.7,85.7,85.7,
ARG,79.8,81,82.1,83.2,84.4,85.5,86.7,87.8,88.9,90.1,91.2,92.3,93.5,94.6,95.8,96.9,98,99
ARM,95.3,95.5,95.7,95.9,96.1,96.3,96.5,96.7,96.9,97.1,97.3,97.5,97.7,97.9,98,98.2,98.4,98.6
AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AZE,68.7,69.4,70.1,70.8,71.4,72.1,72.8,73.5,74.2,74.9,75.6,76.3,77,77.6,77.6,77.6,77.6,77.6
BHS,92.6,92.6,92.6,92.6,92.8,93,93.2,93.3,93.5,93.7,93.8,94,94.2,94.4,94.5,94.7,94.9,95.1
BHR,54,61.6,69.1,76.7,84.3,91.9,99.4,100,100,100,100,100,100,100,100,100,100,100
BGD,25.1,25.5,25.9,26.3,26.7,27.1,27.5,27.9,28.3,28.7,29.1,29.5,29.9,30.3,30.7,31.1,31.5,31.9
BRB,95.1,95.3,95.6,95.9,96.2,96.5,96.8,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1
