ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,12.9,12.3,11.8,11.2,10.6,10,9.5,8.9,8.3,7.7,7.1,6.6,6,5.4,4.8,4.3,3.7,3.1
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,13,13,13,13,13,12.2,11.3,10.4,9.6,8.7,7.9,7,6.2,5.3,4.4,3.6,2.7,1.9
ARG,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0.6,0.6,0.6,0.6,0.7,0.9,1.1,1.2,1.3,1.5,1.7,1.8,1.9,2.1,2.1,2.1,2.1,2.1
BHR,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
BGD,1.6,1.5,1.4,1.3,1.2,1.1,1,0.9,0.8,0.7,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0
BRB,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3
BEN,7.1,6.8,6.5,6.1,5.8,5.5,5.2,4.9,4.5,4.2,3.9,3.6,3.2,2.9,2.6,2.3,2,2
BTN,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.4,0.3,0.2,0.1
BOL,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.2
BIH,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BRA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0,0,0,0
BDI,2.9,3,3.2,3.3,3.4,3.5,3.7,3.8,3.9,4,4.1,4.3,4.4,4.5,4.6,4.8,4.9,5
KHM,23.3,22.1,20.8,19.5,18.3,17,15.8,14.5,13.3,12,10.7,9.5,8.2,7,5.7,4.5,3.2,1.9
CMR,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1
CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
CAF,2.1,1.9,1.8,1.7,1.6,1.5,1.4,1.2,1.1,1,0.9,0.8,0.7,0.6,0.4,0.3,0.2,0.1
TCD,2.4,2.3,2.1,2,1.8,1.7,1.5,1.4,1.2,1.1,0.9,0.8,0.6,0.5,0.3,0.2,0,0
CHL,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
CHN,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1
