ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,14,18.4,22.9,27.4,31.8,36.3,40.8,45.2,49.7,54.1,58.6,63.1,67.5,72,76.5,80.9,85.4,89.9
ALB,100,100,100,100,100,99.8,99.6,99.4,99.1,98.9,98.7,98.5,98.3,98.1,97.9,97.7,97.5,97.3
DZA,97.8,96.8,95.9,95,94,93.1,92.1,91.2,90.2,89.3,88.3,87.4,86.4,85.5,85.5,85.5,85.5,85.5
AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AGO,45.9,47.1,48.4,49.7,51,52.3,53.5,54.8,56.1,57.4,58.7,59.9,61.2,62.5,63.8,65.1,66.3,67.6
ATG,97.6,97.6,97.6,97.6,97.7,97.7,97.7,97.7,97.8,97.8,97.8,97.8,97.9,97.9,97.9,97.9,97.9,97.9
ARG,97.8,97.9,97.9,98,98.1,98.1,98.2,98.3,98.4,98.4,98.5,98.6,98.6,98.7,98.8,98.9,98.9,99
ARM,98.2,98.2,98.3,98.4,98.5,98.6,98.7,98.8,98.8,98.9,99,99.1,99.2,99.3,99.4,99.5,99.6,99.7
AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AZE,87.8,87.8,87.9,87.9,88,88,88.1,88.1,88.2,88.2,88.3,88.3,88.4,88.4,88.4,88.4,88.4,88.4
BHS,96.3,96.3,96.3,96.3,96.4,96.6,96.7,96.9,97,97.2,97.3,97.5,97.6,97.8,97.9,98.1,98.2,98.4
BHR,96,96.6,97.1,97.7,98.3,98.9,99.4,100,100,100,100,100,100,100,100,100,100,100
BGD,82.2,82.4,82.6,82.8,83,83.2,83.4,83.7,83.9,84.1,84.3,84.5,84.7,85,85.2,85.4,85.6,85.8
BRB,97.2,97.6,98,98.4,98.7,99.1,99.5,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8
BLR,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8
BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BLZ,89.9,90.4,90.9,91.4,91.9,92.4,92.9,93.4,93.9,94.4,94.9,95.4,95.9,96.4,96.9,97.4,97.9,98.4
BEN,75.2,75.8,76.4,76.9,77.5,78.1,78.7,79.3,79.9,80.4,81,81.6,82.2,82.8,83.4,83.9,84.5,84.5
BTN,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.2,99.2,99.2,99.3,99.3,99.3,99.4,99.4,99.4,99.4
BOL,91.9,92.1,92.4,92.7,92.9,93.2,93.4,93.7,94,94.2,94.5,94.7,95,95.2,95.5,95.8,96,96
BIH,99.3,99.3,99.3,99.3,99.4,99.4,99.4,99.4,99.4,99.5,99.5,99.5,99.5,99.6,99.6,99.6,99.6,99.6
BWA,99.6,99.6,99.5,99.5,99.5,99.5,99.5,99.4,99.4,99.4,99.4,99.3,99.3,99.3,99.3,99.3,99.3,99.3
BRA,96.7,96.9,97,97.2,97.4,97.6,97.8,97.9,98.1,98.3,98.5,98.7,98.8,99,99.2,99.4,99.5,99.7
BGR,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.7,99.7,99.7,99.7,99.6
BFA,79.3,80.3,81.4,82.5,83.5,84.6,85.7,86.8,87.8,88.9,90,91,92.1,93.2,94.2,95.3,96.4,97.5
BDI,94.9,94.7,94.5,94.3,94.1,93.9,93.7,93.5,93.3,93.1,92.9,92.7,92.5,92.3,92.1,91.9,91.7,91.5
KHM,41.6,44.7,47.8,50.8,53.9,57,60.1,63.1,66.2,69.3,72.4,75.4,78.5,81.6,84.6,87.7,90.8,93.9
CMR,81.9,82.6,83.3,84.1,84.8,85.5,86.2,86.9,87.6,88.4,89.1,89.8,90.5,91.2,91.9,92.6,93.4,94.1
CAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CPV,82,82,82.6,83.2,83.7,84.3,84.9,85.5,86,86.6,87.2,87.7,88.3,88.9,89.5,90,90.6,91.2
CAF,81.5,81.9,82.4,82.9,83.4,83.8,84.3,84.8,85.3,85.8,86.2,86.7,87.2,87.7,88.1,88.6,89.1,89.6
TCD,54.5,55.5,56.5,57.5,58.5,59.6,60.6,61.6,62.6,63.6,64.7,65.7,66.7,67.7,68.7,69.8,70.8,71.8
CHL,99.1,99.1,99.2,99.2,99.2,99.2,99.3,99.3,99.3,99.4,99.4,99.4,99.5,99.5,99.5,99.6,99.6,99.6
CHN,97.1,97.2,97.3,97.4,97.4,97.5,97.6,97.7,97.8,97.9,97.9,98,98.1,98.2,98.3,98.4,98.4,98.4
COL,97.3,97.3,97.3,97.3,97.2,97.2,97.2,97.1,97.1,97.1,97.1,97,97,97,96.9,96.9,96.9,96.9
COM,95.5,95.1,94.6,94.2,93.8,93.3,92.9,92.5,92,91.6,91.2,90.7,90.7,90.7,90.7,90.7,,
COG,95.3,95.3,95.3,95.3,95.3,95.3,95.3,95.3,95.4,95.4,95.5,95.5,95.5,95.6,95.6,95.6,95.7,95.7
COK,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
