ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,86,81.6,77.1,72.6,68.2,63.7,59.2,54.8,50.3,45.9,41.4,36.9,32.5,28,23.5,19.1,14.6,10.1
ALB,0,0,0,0,0,0.2,0.4,0.6,0.9,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.7
DZA,2.2,3.2,4.1,5,6,6.9,7.9,8.8,9.8,10.7,11.7,12.6,13.6,14.5,14.5,14.5,14.5,14.5
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,54.1,52.9,51.6,50.3,49,47.7,46.5,45.2,43.9,42.6,41.3,40.1,38.8,37.5,36.2,34.9,33.7,32.4
ATG,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1
ARG,2.2,2.1,2.1,2,1.9,1.9,1.8,1.7,1.6,1.6,1.5,1.4,1.4,1.3,1.2,1.1,1.1,1
ARM,1.8,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.2,1.1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,12.2,12.2,12.1,12.1,12,12,11.9,11.9,11.8,11.8,11.7,11.7,11.6,11.6,11.6,11.6,11.6,11.6
BHS,3.7,3.7,3.7,3.7,3.6,3.4,3.3,3.1,3,2.8,2.7,2.5,2.4,2.2,2.1,1.9,1.8,1.6
BHR,4,3.4,2.9,2.3,1.7,1.1,0.6,0,0,0,0,0,0,0,0,0,0,0
BGD,17.8,17.6,17.4,17.2,17,16.8,16.6,16.3,16.1,15.9,15.7,15.5,15.3,15,14.8,14.6,14.4,14.2
BRB,2.8,2.4,2,1.6,1.3,0.9,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BLR,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
