ISO,2003,2004,2005,2006,2007,2008,2010,2011,2012
DZA,,,,,0.43,,,,
ARG,,,,0.67,,,,,
ARM,,,,,,,,0.78,
AUS,,,,,,,,0.88,
AUT,,,,,,,,0.97,
AZE,,,,,,,,0.68,
BHR,,,,,,,,0.69,
BEN,,,0.11,,,,,,
BWA,,,,,0.69,,,,
BRA,,,,0.54,,,,,
BFA,,,,,0.38,,,,
BDI,,,,,,0.56,,,
CMR,,,0.66,,,,,,
TCD,,0.29,,,,,,,
CHL,,,,,,,,0.79,
COL,,,,,0.24,,,,
COM,,,,,,0.06,,,
COG,,,,,0.29,,,,
CRI,,,,0.75,,,,,
CIV,,,,,,0.07,,,
HRV,,,,,,,,0.92,
CUB,,,,0.93,,,,,
CYP,0.9,,,,,,,,
CZE,,,,,,,,0.93,
DNK,,,,,,,,0.97,
DOM,,,,0.31,,,,,
ECU,,,,0.46,,,,,
SLV,,,,,0.17,,,,
FIN,,,,,,,,0.98,
GAB,,,,0.09,,,,,
GEO,,,,,,,,0.7,
DEU,,,,,,,,0.98,
GTM,,,,0.43,,,,,
HUN,,,,,,,,0.81,
IND,,,,,,,,,0.1
IRN,,,,,,,,0.54,
IRL,,,,,,,,0.92,
ITA,,,,,,,,0.91,
JPN,,,,,,,,0.99,
KAZ,,,,,,,,0.88,
KEN,,,,,0.83,,,,
KWT,,,,,,,,0.38,
LVA,,,,,0.98,,,,
LBN,,,,,,,0.57,,
LSO,,,,,0.49,,,,
LTU,,,,,,,,0.95,
MDG,,,0.8,,,,,,
MWI,,,,,0.32,,,,
MLT,,,,,,,,0.87,
MRT,,0.09,,,,,,,
MUS,,,,,0.8,,,,
MNG,,,,,0.74,,,,
MAR,,,,,,,,0.32,
MOZ,,,,,0.52,,,,
NAM,,,,,0.38,,,,
NLD,,,,,,,,1,
NZL,,,,,,,,0.8,
NIC,,,,0.61,,,,,
NOR,,,,,,,,0.9,
OMN,,,,,,,,0.44,
PAK,,,,,,,,,0.39
PAN,,,,0.39,,,,,
PRY,,,,0.56,,,,,
PER,,,,0.32,,,,,
PHL,0.31,,,,,,,,
POL,,,,,,,,0.83,
PRT,,,,,,,,0.96,
QAT,,,,,,,,0.47,
KOR,,,,,,,,1,
MDA,0.92,,,,,,,,
ROU,,,,,,,,0.69,
RUS,,,,,,,,0.96,
SAU,,,,,,,,0.55,
SEN,,,,,0.33,,,,
SRB,,,,,,,,0.88,
SYC,,,,,0.79,,,,
SGP,,,,,,,,0.98,
SVK,,,,,,,,0.8,
SVN,,,,,,,,0.93,
ZAF,,,,,0.42,,,,
ESP,,,,,,,,0.85,
SWZ,,,,,0.86,,,,
SWE,,,,,,,,0.93,
TZA,,,,,0.75,,,,
THA,,,,,,,,0.86,
TGO,,,,,,,0.22,,
TUN,,,,,,,,0.23,
TUR,,,,,,,,0.75,
UGA,,,,,0.49,,,,
UKR,,,,,0.84,,,,
ARE,,,,,,,,0.64,
USA,,,,,,,,0.95,
URY,,,,0.88,,,,,
YEM,,,,,,,,0.12,
ZMB,,,,,0.24,,,,
ZWE,,,,,0.66,,,,
ACE,,,,,,,,0.879231,
HIA,,,,,,,,0.8475,
ASA,,,,,,,,0.95,
ASE,,,,,,,,,0.245
ECM,,,,,,,,0.91,
HIM,,,,,,,,0.92,
NAN,,,,,,,,0.95,
SAM,,,,,,,,,0.1
ECE,,,,,,,,0.605054,
HWW,,,,,,,,0.771747,
NAE,,,,,,,,0.855339,
SAE,,,,,,,,,0.117484
# Series: WDMTQLFE,,,,,,,,,
"# Name: Achieving basics in mathematics, female, lowest income quintile",,,,,,,,,
# Definition: Percentage of children taking part in an assessment who achieved an international minimum learning standard in mathematics by hosehold wealth index. (Primary level),,,,,,,,,
# Source: World Inequality Database on Education (WIDE),,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,
