ISO,1990,1995,2000,2005,2010
AFG,14.01,35.87,20.63,10.63,30.49
DZA,,22.08,6.54,,
AGO,1.49,,0.48,,
ATG,,150.03,,,
BGD,,1.73,,,
BLZ,,16.78,0.28,0.03,
BTN,,,49.43,,
BIH,,366.46,,,
BWA,,1.58,,,
BDI,,1.78,2.32,0.28,
KHM,5.33,8.39,3.6,,
TCD,53.74,,16.47,1.24,
CHL,,,,,5.55
COL,0.08,0.15,11.97,7.08,2.85
CIV,,,,,0.04
HRV,,11.75,,,
PRK,,,3242.17,,
COD,,1.45,8.29,,
DMA,,0.09,,,
ECU,,0.11,,,
SLV,0.89,,,0.09,
ERI,,,1658.69,,
ETH,129.33,2.16,,,
GEO,,11.53,,,
GHA,,2.35,,,
GTM,0.51,0.1,,11.01,1.59
GIN,,,4.06,,
GUY,,,1.73,33.16,
HTI,,,,1.69,2709.32
HND,,,,,3.68
ISL,,0.53,,,
IRN,102.95,,,4.17,
IRQ,12.91,10.36,,186.69,8.6
ISR,0.08,0.11,0.07,0.15,
JPN,,0.3,,,
LAO,1.32,,,,
LBN,93.88,1.63,,,
LSO,1.67,,,,
LBR,198.1,57.88,2.78,,
MDG,2.22,,,,
MLI,4.77,,,,
MNG,22.48,,,,
MAR,,214.85,,,
MOZ,16.55,,5.49,,
MMR,2.41,4.08,,,
NPL,,2.03,2.91,7.53,
NIC,1.77,,,,4.81
NER,3.28,,,,
PAK,,,,69.46,6.57
PNG,0.04,,,,
PER,10.18,,,,
PHL,0.42,0.15,0.17,,
RUS,,0.15,0.11,,
RWA,47.05,1424.8,2.35,,2.44
LCA,,,,,8.36
WSM,6.13,,,6.53,
SEN,,5.13,,,
SLE,,31.53,5.49,,
SOM,54.29,8.98,3.16,4.78,38.2
ZAF,2.74,,,,
LKA,35.54,1.6,8.48,,
SDN,24.52,6.9,14.7,6,5.44
TJK,,30.35,,,3.42
THA,,20.3,,,
TGO,,,,10.68,
TON,1.38,,,,
TTO,0.08,,,,
TUR,,29.18,,,
UGA,5.53,3.3,6.73,3.33,
UKR,,,0.07,,
LIA,,115.309,,,
LIM,,4.08,,,
LIW,,17.3739,,,
WLD,,3.01,13.65,2.08,4.04
HIC,,0.04,0,0,0.07
# Series: WDRDPCMA,,,,,
"# Name: War and disaster related deaths, male",,,,,
"# Definition: The mean death rate per 100,000 attributable to risk factor/mortality cause",,,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
