ISO,2001,2004,2005,2006,2007,2008,2010,2011,2012
ARG,,,,0.99,,,,,
AUS,,,,,,,,1,
AUT,,,,,,,,1,
AZE,,,,,,,,1,
BLZ,0.85,,,,,,,,
BEN,,,0.37,,,,,,
BWA,,,,,,,,0.98,
BRA,,,,1,,,,,
BGR,,,,,,,,1,
BFA,,,,,0.76,,,,
BDI,,,,,,0.45,,,
CMR,,,0.9,,,,,,
CAN,,,,,,,,1,
TCD,,0.74,,,,,,,
CHL,,,,1,,,,,
COL,,,,,,,,0.97,
COM,,,,,,0.48,,,
COG,,,,,0.57,,,,
CRI,,,,1,,,,,
CIV,,,,,,0.58,,,
HRV,,,,,,,,1,
CUB,,,,0.99,,,,,
CYP,1,,,,,,,,
CZE,,,,,,,,1,
DNK,,,,,,,,1,
DOM,,,,0.95,,,,,
ECU,,,,1,,,,,
SLV,,,,0.99,,,,,
FIN,,,,,,,,1,
FRA,,,,,,,,1,
GAB,,,,0.88,,,,,
GEO,,,,,,,,1,
DEU,,,,,,,,1,
GRC,1,,,,,,,,
GTM,,,,0.99,,,,,
HND,,,,,,,,1,
HUN,,,,,,,,1,
ISL,,,,1,,,,,
IND,,,,,,,,,0.67
IDN,,,,,,,,0.99,
IRN,,,,,,,,1,
IRL,,,,,,,,1,
ISR,,,,,,,,1,
ITA,,,,,,,,1,
KEN,,,,,0.98,,,,
KWT,,,,,,,,0.98,
LVA,,,,1,,,,,
LBN,,,,,,,0.88,,
LSO,,,,,0.9,,,,
LTU,,,,,,,,1,
LUX,,,,1,,,,,
MKD,,,,0.99,,,,,
MDG,,,0.55,,,,,,
MWI,,,,,0.68,,,,
MLT,,,,,,,,1,
MRT,,0.25,,,,,,,
MUS,,,,,0.99,,,,
MAR,,,,,,,,0.81,
MOZ,,,,,0.92,,,,
NAM,,,,,0.98,,,,
NLD,,,,,,,,1,
NZL,,,,,,,,1,
NIC,,,,1,,,,,
NOR,,,,,,,,1,
OMN,,,,,,,,0.95,
PAK,,,,,,,,,0.62
PAN,,,,0.99,,,,,
PRY,,,,0.99,,,,,
PER,,,,1,,,,,
POL,,,,,,,,1,
PRT,,,,,,,,1,
QAT,,,,,,,,0.98,
MDA,,,,1,,,,,
ROU,,,,,,,,1,
RUS,,,,,,,,1,
SAU,,,,,,,,0.98,
SEN,,,,,0.63,,,,
SYC,,,,,0.99,,,,
SGP,,,,,,,,1,
SVK,,,,,,,,1,
SVN,,,,,,,,1,
ZAF,,,,,,,,0.98,
ESP,,,,,,,,1,
SWZ,,,,,1,,,,
SWE,,,,,,,,1,
TZA,,,,,1,,,,
TGO,,,,,,,0.3,,
TTO,,,,,,,,1,
TUR,0.99,,,,,,,,
UGA,,,,,0.92,,,,
ARE,,,,,,,,0.98,
URY,,,,1,,,,,
ZMB,,,,,0.74,,,,
ZWE,,,,,0.98,,,,
ACE,,,,,,,,1,
AME,,,,0.992143,,,,,
ASE,,,,,,,,,0.645
ECM,,,,,,,,1,
LCM,,,,0.99,,,,,
SAM,,,,,,,,,0.62
ECE,,,,,,,,0.645512,
LCE,,,,0.618948,,,,,
SAE,,,,,,,,,0.56846
# Series: WDREQHFE,,,,,,,,,
"# Name: Achieving basics in reading, female, highest income quintile",,,,,,,,,
# Definition: Percentage of children taking part in an assessment who achieved an international minimum learning standard in reading by hosehold wealth index. (Primary level),,,,,,,,,
# Source: World Inequality Database on Education (WIDE),,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,
