ISO,1996,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,-1.85,-1.84,-1.91,-1.43,-1.55,-1.42,-1.46,-1.44,-1.59,-1.64,-1.51,-1.62,-1.55,-1.41,-1.43
ALB,-1.09,-1.01,-0.82,-0.86,-0.77,-0.67,-0.75,-0.81,-0.66,-0.55,-0.49,-0.49,-0.65,-0.72,-0.72
DZA,-0.48,-0.97,-0.95,-0.94,-0.67,-0.63,-0.42,-0.49,-0.52,-0.56,-0.55,-0.49,-0.51,-0.49,-0.48
AGO,-1.16,-1.32,-1.52,-1.14,-1.3,-1.28,-1.33,-1.23,-1.32,-1.28,-1.42,-1.32,-1.34,-1.3,-1.32
ATG,0.9,0.92,0.91,0.85,0.83,0.84,0.77,1.27,1.3,1.32,1.35,1.33,1.31,1.29,1.29
ARG,-0.21,-0.18,-0.34,-0.51,-0.52,-0.45,-0.43,-0.4,-0.4,-0.47,-0.5,-0.41,-0.4,-0.49,-0.46
ARM,-0.47,-0.74,-0.65,-0.65,-0.55,-0.61,-0.63,-0.59,-0.66,-0.63,-0.56,-0.65,-0.6,-0.53,-0.47
AUS,1.89,1.77,1.96,1.75,1.94,2.1,1.97,1.99,2.04,2.07,2.08,2.04,2.08,2,1.76
AUT,1.93,2.07,1.95,2.09,2.1,2.15,1.96,1.99,2.1,1.92,1.76,1.63,1.44,1.35,1.51
AZE,-1.25,-1.12,-1.09,-1.05,-0.95,-1.11,-0.99,-0.99,-1.02,-1.04,-1.11,-1.18,-1.12,-1.07,-0.9
BHS,1.2,1.35,1.39,1.45,1.4,1.4,1.33,1.38,1.37,1.38,1.37,1.36,1.36,1.34,1.36
BHR,0.17,0.1,0.37,0.77,0.45,0.53,0.47,0.24,0.25,0.25,0.24,0.25,0.24,0.39,0.45
BGD,-0.73,-0.44,-0.94,-1.18,-1.33,-1.49,-1.41,-1.42,-1.05,-1.02,-1.03,-1.02,-1.05,-0.87,-0.89
BRB,1.36,1.38,1.38,1.3,1.32,1.23,1.31,1.26,1.34,1.31,1.33,1.44,1.76,1.66,1.61
