ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,,0,0,0,0,0,0,0,,,2,2,3,2,2,2,2
ALB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DZA,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
AND,,,,,,,2,,2,2,2,2,3,3,3,3,3
AGO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
ATG,,,,,,,1,,2,2,2,2,2,2,2,3,3
ARG,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
ARM,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2
AUS,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2
AUT,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3
AZE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
BHS,,,,,,,2,,2,2,2,2,3,3,2,2,2
BHR,0,0,0,0,0,0,0,1,1,2,1,1,1,2,2,1,2
BGD,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
BRB,,,,,,,2,,3,2,2,3,2,2,2,2,2
BLR,1,1,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2
BEL,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
BLZ,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
BEN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
BTN,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2
BOL,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3
BIH,,,,,,,2,2,2,2,2,2,2,2,2,2,2
BWA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
BRA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
BRN,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1
BGR,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
BFA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
BDI,,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
KHM,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CMR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CAN,2,2,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2
CPV,,,,,,,2,,2,2,2,2,2,3,2,2,2
CAF,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
