ISO,1995,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,,,,12.4,,
ATG,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ARM,,,,,,,,,,11.1,,6.1,6.2,6.7,6.5,9.1,
BLR,,,,,,64.5,66.7,66.3,66.9,66.8,67.7,68.2,68.3,,68.6,,70.1
BEL,,,,,,,,,,,,,,34.8,,,
BLZ,,10.3,10.3,24.1,24.1,24.1,10.3,10.3,10.3,27.6,27.6,27.6,25.9,25.9,25.9,25.9,
BOL,,8.3,8.3,19.9,19.9,19.9,19.9,19.9,13.4,13.4,13.4,13.4,13.4,42.3,42.3,42.9,
BRA,,11.1,11.1,11.1,11.6,11.6,11.6,11.6,12.6,12.6,12.6,12.6,12.5,12.5,12.5,12.5,
BGR,21.4,,,20.9,20.9,21.2,21.2,23.5,23.4,23.7,23.8,24.3,,,,,
CAN,31.2,,,,34.9,,,,,32.8,,,,,,,
CHL,,14.4,14.4,14.4,17.3,17.3,17.3,17.3,21.1,21.1,21.1,21.1,23.2,23.2,23.2,24.8,
COL,,10.3,10.3,10.3,12.9,12.9,12.9,13.7,13.7,13.7,13.7,14.5,14.5,14.5,14.5,17,
CRI,,33.8,33.8,33.8,33.8,46.3,46.3,46.3,46.3,40.8,40.8,40.8,40.8,38.6,38.6,38.6,
HRV,4.8,,,7,13.4,,,,14.5,,,,21.9,,,,20.7
CUB,,17.6,17.6,20.1,20.1,21.8,21.8,22.8,24,26.1,28,21.8,28.8,34.3,34.9,34.6,
CYP,14.1,,,17.2,18.6,,,,,20.3,,16.8,,,17.9,,17.9
CZE,,,,,,,,,,25,,,,,,,
DNK,,,,,27,,,,27.3,,,,31.8,,,,29.7
DMA,,,,33,20.5,18.4,29.1,18.6,18.1,30.1,36.5,18.7,,,,40.9,
DOM,,25.5,25.5,25.5,25.5,29.9,29.9,29.9,29.9,26.8,26.8,26.8,26.8,33.3,33.3,33.2,
ECU,,8.3,8.3,29.7,29.7,29.7,29.7,29.7,31.7,31.7,31.7,31.7,28.6,28.6,28.6,28.6,
SLV,,,,20.6,20.6,20.6,22.3,22.3,22.3,20.9,20.9,20.9,25.2,25.2,25.2,,
EST,,,,,20.6,,,,,,,,,,,,
FIN,30,,,31.5,34.4,34.4,34.4,34.4,36.4,36.4,36.4,36.4,36.7,36.7,36.7,,
FRA,20.7,,,,30.3,,,,,,,35,,,,,34.7
GEO,,,,,,,,,,11.1,,11.4,11.7,11.9,10.3,10.4,12
GTM,,5.1,5.1,4.2,4.2,4.2,4.2,5.8,5.8,5.8,5.8,8.8,8.8,8.8,,,
HND,,11.5,11.5,11.5,11.5,16.6,16.6,16.6,16.6,17.5,17.5,17.5,17.5,22.4,22.4,22.4,
HUN,19.1,,,21.7,,24.6,,,,26.6,,,,,,,
ISL,24.8,,,28.2,28.2,31.2,31.2,31.2,31.2,35.9,35.9,35.9,35.9,39.8,39.8,39.8,39.8
