ISO,1990,1995,2000,2005,2010
AFG,330.64,873.6,476.21,230.8,649.02
ALB,,0,0,,
DZA,,438.1,122.74,,
AND,,0,0,,
AGO,754.91,44.73,278.88,,
ATG,,0,0,,
ARG,,0,0,,
ARM,,0,0,,
AUS,,0,0,,
AUT,,0,0,,
AZE,,0,0,,
BHS,,0,0,,
BHR,,0,0,,
BGD,,0,0,,
BRB,,0,0,,
BLR,,0,0,,
BEL,,0,0,,
BLZ,,404.53,0,,
BEN,,0,0,,
BTN,,0,0,,
BOL,,0,0,,
BIH,,8248.25,0,,
BWA,,0,0,,
BRA,,0,0,,
BRN,,0,0,,
BGR,,0,0,,
BFA,,0,0,,
BDI,,776.46,144.9,27.6,
KHM,141.54,189.45,0,,
CMR,,0,0,,
CAN,,0,0,,
CPV,,0,0,,
CAF,,0,0,,
TCD,1282.07,13.29,388.09,31.62,
CHL,,0,0,,
CHN,,0,0,,
COL,15.88,16.22,184.07,164.57,60.55
COM,,0,0,,
COG,,0,0,,
CRI,,0,0,,
CIV,,0,0,,
HRV,,85.88,0,,
CUB,,0,0,,
CYP,,0,0,,
CZE,,0,0,,
PRK,,0,0,,
COD,,30.89,190.3,,
DNK,,0,0,,
DJI,,0,0,,
DMA,,0,0,,
DOM,,0,0,,
ECU,,7.65,0,,
EGY,,0,0,,
SLV,76.28,0,0,,
GNQ,,0,0,,
ERI,,0,41763.8,,
EST,,0,0,,
ETH,3208.57,46.8,0,,
FJI,,0,0,,
FIN,,0,0,,
FRA,,0,0,,
GAB,,0,0,,
GMB,,0,0,,
GEO,,54.47,0,,
DEU,,0,0,,
GHA,,46.45,0,,
GRC,,0,0,,
GRD,,0,0,,
GTM,47.46,4.48,0,,
GIN,,0,79.55,,
GNB,,0,0,,
GUY,,0,0,,
HTI,,0,0,,
HND,,0,0,,
HUN,,0,0,,
ISL,,0,0,,
IND,,0,0,,
IDN,,0,0,,
IRN,,0,0,,
IRQ,267.45,223.77,26.19,1650.11,164.23
IRL,,0,0,,
ISR,8.92,13.82,6.04,13.83,
ITA,,0,0,,
JAM,,0,0,,
JPN,,0,0,,
JOR,,0,0,,
KAZ,,0,0,,
KEN,,0,0,,
KIR,,0,0,,
KWT,,0,0,,
KGZ,,0,0,,
LAO,48.4,0,0,,
LVA,,0,0,,
LBN,1947.79,29.59,0,,
LSO,,0,0,,
LBR,4434.98,1291.59,56.62,,
LBY,,0,0,,
LTU,,0,0,,
LUX,,0,0,,
MKD,,0,0,,
MDG,,0,0,,
MWI,,0,0,,
MYS,,0,0,,
MDV,,0,0,,
MLI,116.42,0,0,,
MLT,,0,0,,
MHL,,0,0,,
MRT,,0,0,,
MUS,,0,0,,
MEX,,0,0,,
FSM,,0,0,,
MNG,,0,0,,
MNE,,0,0,,
MAR,,0,0,,
MOZ,377.36,0,0,,
MMR,72.09,91.52,0,,
NAM,,0,0,,
NPL,,0,61.57,162.08,
NLD,,0,0,,
NZL,,0,0,,
NIC,45.32,0,0,,
NER,86.5,0,0,,
NGA,,0,0,,
NOR,,0,0,,
OMN,,0,0,,
PAK,,0,0,,139.42
PAN,,0,0,,
PNG,72.96,0,0,,
PRY,,0,0,,
PER,224.6,0,0,,
PHL,,0,10.55,,
POL,,0,0,,
PRT,,0,0,,
QAT,,0,0,,
KOR,,0,0,,
MDA,,0,0,,
ROU,,0,0,,
RUS,,0,6.99,,
RWA,1386.67,8090.92,52.66,,55.94
LCA,,0,0,,
VCT,,0,0,,
WSM,,0,0,,
STP,,0,0,,
SAU,,0,0,,
SEN,,114.14,0,,
SRB,,0,0,,
SYC,,0,0,,
SLE,,742.66,121.41,,
SGP,,0,0,,
SVK,,0,0,,
SVN,,0,0,,
SLB,,0,0,,
SOM,1274.2,215.29,74.86,110.88,891.03
ZAF,76.28,0,0,,
ESP,,0,0,,
LKA,833.32,114.6,244.24,,
SDN,544.01,153.09,318.83,130.01,115.23
SUR,,0,0,,
SWZ,,0,0,,
SWE,,0,0,,
CHE,,0,0,,
SYR,,0,0,,
TJK,,962.98,0,,75.21
TZA,,0,0,,
THA,,117.66,0,,
TLS,,0,0,,
TGO,,0,0,243.2,
TON,,0,0,,
TTO,6.82,0,0,,
TUN,,0,0,,
TUR,,445.67,0,,
TKM,,0,0,,
UGA,153.95,93.31,172.18,83.45,
UKR,,0,0,,
ARE,,0,0,,
GBR,,0,0,,
USA,,0,0,,
URY,,0,0,,
UZB,,0,0,,
VUT,,0,0,,
VEN,,0,0,,
VNM,,0,0,,
YEM,,0,0,,
ZMB,,0,0,,
ZWE,,0,0,,
HIA,,1.91731,0.250577,,
LIA,,383.393,1245.2,,
LMA,,10.592,12.47,,
UMA,,191.849,11.7669,,
HIM,,0,0,,
LIM,,0,0,,
LMM,,0,0,,
UMM,,0,0,,
HWW,,0.404883,0.905632,,
LIW,,158.033,301.359,,
LMW,,4.25287,6.98276,,
UMW,,39.6722,7.25766,,
WLD,,29.77,34.51,9.35,8.92
HIC,,0.11,0.05,0.15,
EAS,,7.77,0.77,,
ECS,,137.54,1.77,,1.13
LCN,,1.75,13.83,12.62,4.76
MEA,,66.23,15.48,128.77,14.15
SAS,,13.72,11.8,6.56,25.23
SSF,,115.94,276.85,13.28,16.63
# Series: WRDLPCFE,,,,,
"# Name: War related DALYs, female",,,,,
"# Definition: The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/mortality cause",,,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
