ISO,1990,1995,2000,2005,2010
AFG,632.55,1544.65,870.92,447.55,1266.22
ALB,,0,0,,
DZA,,806.51,232.38,,
AND,,0,0,,
AGO,171.26,0,40.2,,
ATG,,0,0,,
ARG,,0,0,,
ARM,,0,0,,
AUS,,0,0,,
AUT,,0,0,,
AZE,,0,0,,
BHS,,0,0,,
BHR,,0,0,,
BGD,,0,0,,
BRB,,0,0,,
BLR,,0,0,,
BEL,,0,0,,
BLZ,,622.94,0,,
BEN,,0,0,,
BTN,,0,0,,
BOL,,0,0,,
BIH,,14809.3,0,,
BWA,,0,0,,
BRA,,0,0,,
BRN,,0,0,,
BGR,,0,0,,
BFA,,0,0,,
BDI,,149.38,194.89,25.26,
KHM,260.51,348.52,0,,
CMR,,0,0,,
CAN,,0,0,,
CPV,,0,0,,
CAF,,0,0,,
TCD,2331.05,16.66,724.83,53.61,
CHL,,0,0,,
CHN,,0,0,,
COL,24.91,22.7,482.25,281.56,109.3
COM,,0,0,,
COG,,0,0,,
CRI,,0,0,,
CIV,,0,0,,
HRV,,490.52,0,,
CUB,,0,0,,
CYP,,0,0,,
CZE,,0,0,,
PRK,,0,0,,
COD,,59.03,350.24,,
DNK,,0,0,,
DJI,,0,0,,
DMA,,0,0,,
DOM,,0,0,,
ECU,,8.9,0,,
EGY,,0,0,,
SLV,94.17,0,0,,
GNQ,,0,0,,
ERI,,0,78698.5,,
EST,,0,0,,
ETH,5876.85,89.7,0,,
FJI,,0,0,,
FIN,,0,0,,
FRA,,0,0,,
GAB,,0,0,,
GMB,,0,0,,
GEO,,423.38,0,,
DEU,,0,0,,
GHA,,95.12,0,,
GRC,,0,0,,
GRD,,0,0,,
GTM,63.36,8.24,0,,
GIN,,0,166.13,,
GNB,,0,0,,
GUY,,0,0,,
HTI,,0,0,,
HND,,0,0,,
HUN,,0,0,,
ISL,,0,0,,
IND,,0,0,,
IDN,,0,0,,
IRN,,0,0,,
IRQ,516.15,436.27,71.39,6775.55,313.19
IRL,,0,0,,
ISR,24.49,17.12,9.42,14.56,
ITA,,0,0,,
JAM,,0,0,,
JPN,,0,0,,
JOR,,0,0,,
KAZ,,0,0,,
KEN,,0,0,,
KIR,,0,0,,
KWT,,0,0,,
KGZ,,0,0,,
LAO,92.63,0,0,,
LVA,,0,0,,
LBN,3578,56.09,0,,
LSO,,0,0,,
LBR,8395.41,2425.94,110.42,,
LBY,,0,0,,
LTU,,0,0,,
LUX,,0,0,,
MKD,,0,0,,
MDG,,0,0,,
MWI,,0,0,,
MYS,,0,0,,
MDV,,0,0,,
MLI,225.85,0,0,,
MLT,,0,0,,
MHL,,0,0,,
MRT,,0,0,,
MUS,,0,0,,
MEX,,0,0,,
FSM,,0,0,,
MNG,,0,0,,
MNE,,0,0,,
MAR,,0,0,,
MOZ,714.08,0,0,,
MMR,131.38,169.9,0,,
NAM,,0,0,,
NPL,,0,113.34,296.45,
NLD,,0,0,,
NZL,,0,0,,
NIC,83.48,0,0,,
NER,166.6,0,0,,
NGA,,0,0,,
NOR,,0,0,,
OMN,,0,0,,
PAK,,0,0,,259.14
PAN,,0,0,,
PNG,137.71,0,0,,
PRY,,0,0,,
PER,420.33,0,0,,
PHL,,0,14.13,,
POL,,0,0,,
PRT,,0,0,,
QAT,,0,0,,
KOR,,0,0,,
MDA,,0,0,,
ROU,,0,0,,
RUS,,0,8.84,,
RWA,2155.61,66096.5,100.82,,100.97
LCA,,0,0,,
VCT,,0,0,,
WSM,,0,0,,
STP,,0,0,,
SAU,,0,0,,
SEN,,209.03,0,,
SRB,,0,0,,
SYC,,0,0,,
SLE,,1364.04,225.35,,
SGP,,0,0,,
SVK,,0,0,,
SVN,,0,0,,
SLB,,0,0,,
SOM,2360.1,382.45,135.72,201.88,1634.95
ZAF,139.41,0,0,,
ESP,,0,0,,
LKA,1426.02,135.35,358.69,,
SDN,1014.79,287.85,587.94,236.46,212.06
SUR,,0,0,,
SWZ,,0,0,,
SWE,,0,0,,
CHE,,0,0,,
SYR,,0,0,,
TJK,,1191.41,0,,137.63
TZA,,0,0,,
THA,,800.66,0,,
TLS,,0,0,,
TGO,,0,0,450.27,
TON,,0,0,,
TTO,6.96,0,0,,
TUN,,0,0,,
TUR,,1098.91,0,,
TKM,,0,0,,
UGA,278.16,161.51,304.15,146.71,
UKR,,0,0,,
ARE,,0,0,,
GBR,,0,0,,
USA,,0,0,,
URY,,0,0,,
UZB,,0,0,,
VUT,,0,0,,
VEN,,0,0,,
VNM,,0,0,,
YEM,,0,0,,
ZMB,,0,0,,
ZWE,,0,0,,
HIA,,9.76231,0.351154,,
LIA,,2114.28,2342.72,,
LMA,,25.195,20.8861,,
UMA,,358.89,15.8888,,
HIM,,0,0,,
LIM,,0,0,,
LMM,,0,0,,
UMM,,0,0,,
HWW,,2.0127,1.15498,,
LIW,,775.313,564.857,,
LMW,,8.1213,11.828,,
UMW,,97.007,13.3488,,
WLD,,98.13,58.68,27.76,16.07
HIC,,0.13,0.08,0.16,
EAS,,33.2,0.96,,
ECS,,302.41,2.25,,2.04
LCN,,2.48,36.15,21.51,8.5
MEA,,121.36,30.77,491.01,24.41
SAS,,22.75,19.06,11.42,46.54
SSF,,637.02,484.37,23.99,30.37
# Series: WRDLPCMA,,,,,
"# Name: War related DALYs, male",,,,,
"# Definition: The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/mortality cause",,,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
