ISO,1990,1995,2000,2005,2010
AFG,7.29,19.08,10.57,5.12,14.87
ALB,,0,0,,
DZA,,12.48,3.65,,
AND,,0,0,,
AGO,17,1.11,6.54,,
ATG,,0,0,,
ARG,,0,0,,
ARM,,0,0,,
AUS,,0,0,,
AUT,,0,0,,
AZE,,0,0,,
BHS,,0,0,,
BHR,,0,0,,
BGD,,0,0,,
BRB,,0,0,,
BLR,,0,0,,
BEL,,0,0,,
BLZ,,11.79,0,,
BEN,,0,0,,
BTN,,0,0,,
BOL,,0,0,,
BIH,,228.84,0,,
BWA,,0,0,,
BRA,,0,0,,
BRN,,0,0,,
BGR,,0,0,,
BFA,,0,0,,
BDI,,16.83,1.73,0.36,
KHM,2.9,4.56,0,,
CMR,,0,0,,
CAN,,0,0,,
CPV,,0,0,,
CAF,,0,0,,
TCD,29.27,0,8.77,0.66,
CHL,,0,0,,
CHN,,0,0,,
COL,0.08,0.12,5.53,5.06,1.9
COM,,0,0,,
COG,,0,0,,
CRI,,0,0,,
CIV,,0,0,,
HRV,,1.01,0,,
CUB,,0,0,,
CYP,,0,0,,
CZE,,0,0,,
PRK,,0,0,,
COD,,0.76,4.44,,
DNK,,0,0,,
DJI,,0,0,,
DMA,,0,0,,
DOM,,0,0,,
ECU,,0.09,0,,
EGY,,0,0,,
SLV,0.79,0,0,,
GNQ,,0,0,,
ERI,,0,892.47,,
EST,,0,0,,
ETH,68.63,1.11,0,,
FJI,,0,0,,
FIN,,0,0,,
FRA,,0,0,,
GAB,,0,0,,
GMB,,0,0,,
GEO,,1.75,0,,
DEU,,0,0,,
GHA,,1.19,0,,
GRC,,0,0,,
GRD,,0,0,,
GTM,0.44,0.05,0,,
GIN,,0,1.99,,
GNB,,0,0,,
GUY,,0,0,,
HTI,,0,0,,
HND,,0,0,,
HUN,,0,0,,
ISL,,0,0,,
IND,,0,0,,
IDN,,0,0,,
IRN,,0,0,,
IRQ,6.56,5.22,0,46.72,4.41
IRL,,0,0,,
ISR,0,0.1,0.03,0.13,
ITA,,0,0,,
JAM,,0,0,,
JPN,,0,0,,
JOR,,0,0,,
KAZ,,0,0,,
KEN,,0,0,,
KIR,,0,0,,
KWT,,0,0,,
KGZ,,0,0,,
LAO,0.7,0,0,,
LVA,,0,0,,
LBN,53.11,0.89,0,,
LSO,,0,0,,
LBR,102.61,29.66,1.39,,
LBY,,0,0,,
LTU,,0,0,,
LUX,,0,0,,
MKD,,0,0,,
MDG,,0,0,,
MWI,,0,0,,
MYS,,0,0,,
MDV,,0,0,,
MLI,2.39,0,0,,
MLT,,0,0,,
MHL,,0,0,,
MRT,,0,0,,
MUS,,0,0,,
MEX,,0,0,,
FSM,,0,0,,
MNG,,0,0,,
MNE,,0,0,,
MAR,,0,0,,
MOZ,8.91,0,0,,
MMR,1.29,2.18,0,,
NAM,,0,0,,
NPL,,0,1.59,4.11,
NLD,,0,0,,
NZL,,0,0,,
NIC,1.04,0,0,,
NER,1.7,0,0,,
NGA,,0,0,,
NOR,,0,0,,
OMN,,0,0,,
PAK,,0,0,,3.63
PAN,,0,0,,
PNG,0.66,0,0,,
PRY,,0,0,,
PER,5.61,0,0,,
PHL,,0,0.13,,
POL,,0,0,,
PRT,,0,0,,
QAT,,0,0,,
KOR,,0,0,,
MDA,,0,0,,
ROU,,0,0,,
RUS,,0,0.08,,
RWA,29.41,180.45,1.23,,1.37
LCA,,0,0,,
VCT,,0,0,,
WSM,,0,0,,
STP,,0,0,,
SAU,,0,0,,
SEN,,2.79,0,,
SRB,,0,0,,
SYC,,0,0,,
SLE,,17.52,2.99,,
SGP,,0,0,,
SVK,,0,0,,
SVN,,0,0,,
SLB,,0,0,,
SOM,28.64,4.76,1.63,2.5,20.1
ZAF,1.64,0,0,,
ESP,,0,0,,
LKA,22.29,1.36,6.39,,
SDN,12.99,3.64,7.94,3.26,2.98
SUR,,0,0,,
SWZ,,0,0,,
SWE,,0,0,,
CHE,,0,0,,
SYR,,0,0,,
TJK,,26.51,0,,2.03
TZA,,0,0,,
THA,,3.59,0,,
TLS,,0,0,,
TGO,,0,0,5.7,
TON,,0,0,,
TTO,0.08,0,0,,
TUN,,0,0,,
TUR,,13.33,0,,
TKM,,0,0,,
UGA,2.99,1.79,3.64,1.8,
UKR,,0,0,,
ARE,,0,0,,
GBR,,0,0,,
USA,,0,0,,
URY,,0,0,,
UZB,,0,0,,
VUT,,0,0,,
VEN,,0,0,,
VNM,,0,0,,
YEM,,0,0,,
ZMB,,0,0,,
ZWE,,0,0,,
HIA,,0.0213462,0.00211538,,
LIA,,8.72029,26.6411,,
LMA,,0.234348,0.314348,,
UMA,,5.33577,0.302308,,
HIM,,0,0,,
LIM,,0,0,,
LMM,,0,0,,
UMM,,0,0,,
HWW,,0.00445833,0.0101527,,
LIW,,3.58093,6.48873,,
LMW,,0.0898281,0.171688,,
UMW,,1.12617,0.197044,,
WLD,,0.7,0.65,0.22,0.18
HIC,,0,0,0,
EAS,,0.21,0.01,,
ECS,,3.48,0.02,,0.02
LCN,,0.02,0.4,0.37,0.14
MEA,,1.82,0.41,3.57,0.35
SAS,,0.26,0.28,0.14,0.56
SSF,,2.56,5.93,0.31,0.39
# Series: WRRDPCFE,,,,,
"# Name: War related deaths, female",,,,,
"# Definition: The mean death rate per 100,000 attributable to risk factor/mortality cause",,,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
