ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,1.33258,,
ALB,,,,,,10.0973,,,,,10.3015,,,10.6132,,,,
ARM,,,,,,11.2827,,,,,11.5232,,,,,12.093,,
AZE,,,,,,11.3529,,,,,,11.0921,,,,,,
BGD,,3.79726,,,4.62395,,,,,5.25999,,5.79176,6.04961,,,,6.42425,
BLR,,,,,,,,,,,11.96,,,,,,,
BLZ,,,,,,,,,,,,9.45853,,,,,8.44196,
BEN,,1.67182,,,,,2.33402,,,,,3.01206,,,,,,
BTN,,,,,,,,,,,,,,,,5.42577,,
BOL,,,,8.72919,,9.44213,,,8.69583,,,,,10.2966,,,,
BIH,,,,,,11.0015,,,,,,11.5473,,,,,12.5358,
BFA,,,,1.13655,,,,,1.91544,,,1.66053,,,,2.08292,,
BDI,,,,,,4.12165,,,,,3.58524,,,,,3.55905,,
KHM,,,,,,3.87024,,,,,4.85222,,,,,6.39682,,
CMR,,,,6.22951,,,,,,6.25424,,6.43441,,,,,6.76459,
CAF,,,,,,3.22762,,,,,,3.63768,,,,,,
TCD,,0.94133,,,,1.55752,,,,1.5486,,,,,,,,
COL,8.03522,,,,,9.17597,,,,,9.84946,,,,,10.2094,,
COM,,,,,,4.16397,,,,,,,,,,,,
COG,,,,,,,,,,,7.2085,,,,,,8.36923,
CIV,,,,4.60756,,3.22478,,,,,,3.71378,,,,,4.78297,
COD,,,,,,4.90086,,,,,,,5.29742,,,5.36397,,
DJI,,,,,,,,,,,,5.40973,,,,,,
DOM,,8.71109,,,9.52824,,,10.249,,,,,10.5852,,,,,
EGY,7.05867,,,,,8.07168,,,,,9.02526,,,9.88382,,,,
GNQ,,,,,,5.87088,,,,,,,,,,,,
ETH,,,,,,1.73452,,,,,2.34176,,,,,,3.67271,
GAB,,,,,,7.82167,,,,,,,,,,,,9.06936
GMB,,,,,,3.20229,,,,,4.31621,,,,,,,
GEO,,,,,,,,,,,13.6752,,,,,,,
GHA,,,,6.69465,,,,,6.57799,,,6.86332,,7.2971,,,8.18254,
GIN,,,,,1.57167,,,,,,1.59435,,,,,,,
GNB,,,,,,2.11359,,,,,,2.96253,,,,,,
GUY,,,,,,9.50985,,,,,,9.47913,,,9.87195,,,
HTI,,,,,,5.5658,,,,,7.08786,,,,,,,7.89139
HND,,,,,,,,,,,7.19488,,,,,,9.20296,
IND,,,,7.46411,,,,,,,6.36954,,,,,,,
IDN,,,8.07167,,,,,9.02268,,,,,9.46251,,,,,10.2724
IRQ,,,,,,6.44715,,,,,,6.155,,,,,6.21952,
JAM,,,,,,,,,,,10.7726,,,,,,,
JOR,,,11.4141,,,,,11.7999,,,,,12.3672,,,,,
KAZ,10.7249,,,,11.0756,,,,,,,13.2136,,,,13.3507,,
KEN,,,,8.21463,,7.87717,,,,,,,,8.84838,,,,
KGZ,,,9.93055,,,,,,,,12.0505,,,,,,,
LAO,,,,,,4.0572,,,,,,4.83834,,,,,7.05185,
LSO,,,,,,7.82384,,,,8.11366,,,,,8.69024,,,
LBR,,,,,,,,,,,,,4.25537,,,,,
MKD,,,,,,,,,,,11.6248,,,,,,12.2858,
MDG,,,4.2741,,,,,,4.95824,,,,,4.59857,,,,
MWI,,,,,,5.01214,,,,5.98644,,,,,,6.69748,,
MDV,,,,,,,,,,,,,,,9.7447,,,
MLI,1.04142,,,,,,1.33834,,,,,1.35249,,,,,,
MRT,,,,,,,,,,,,,5.27549,,,,,
MNG,,,,,,10.8432,,,,,10.5077,,,,,,,
MNE,,,,,,,,,,,11.8606,,,,,,,
MAR,,,,,,,,,4.29247,,,,,,,,,
MOZ,,,2.25116,,,,,,2.59037,,,,,3.65418,,,4.01189,
MMR,,,,,,5.62993,,,,,,,,,,,,
NAM,,,,,,8.35811,,,,,,9.07,,,,,,
NPL,,2.81073,,,,,3.15533,,,,,4.26103,,,,,6.05361,
NIC,,,,6.60622,,,7.13937,,,,,,,,,,,
NER,,,,1.22651,,1.08903,,,,,,1.04678,,,,,,
NGA,,,,,5.98116,,,,5.49972,,,,,5.03709,,,7.71431,
PAK,,,,,,,,,,,,4.96637,,,,,,
PER,,9.65741,,,,9.81939,,,,,,,10.4431,,,,,10.8461
PHL,,,,10.1077,,,,,10.6628,,,,,10.9457,,,,
MDA,,,,,,9.84893,,,,,12.0366,,,,,,,
RWA,,,,,,4.41003,,,,,3.8601,,,,,4.80566,,
STP,,,,,,6.60233,,,,,,,,6.39476,,,,
