ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,4.0171,,
ALB,,,,,,11.1531,,,,,12.4929,,,13.7887,,,,
ARM,,,,,,11.9139,,,,,13.2623,,,,,13.2496,,
AZE,,,,,,13.4721,,,,,,12.8928,,,,,,
BGD,,7.35628,,,8.43051,,,,,8.02189,,9.06209,8.60765,,,,8.86287,
BLR,,,,,,,,,,,12.575,,,,,,,
BLZ,,,,,,,,,,,,12.3374,,,,,10.642,
BEN,,4.29964,,,,,5.32351,,,,,6.99321,,,,,,
BTN,,,,,,,,,,,,,,,,9.40364,,
BOL,,,,10.9629,,12.2301,,,12.8916,,,,,13.8539,,,,
BIH,,,,,,11.1524,,,,,,12.8497,,,,,13.575,
BFA,,,,4.64255,,,,,5.49305,,,4.43601,,,,5.62849,,
BDI,,,,,,5.89205,,,,,5.37509,,,,,6.77208,,
KHM,,,,,,6.80229,,,,,7.91956,,,,,9.53589,,
CMR,,,,9.32055,,,,,,9.72941,,10.2273,,,,,10.4429,
CAF,,,,,,6.33404,,,,,,6.84033,,,,,,
TCD,,3.01383,,,,4.32285,,,,4.23996,,,,,,,,
COL,9.99894,,,,,10.6721,,,,,12.5081,,,,,12.6893,,
COM,,,,,,6.46933,,,,,,,,,,,,
COG,,,,,,,,,,,9.7879,,,,,,11.1218,
CIV,,,,7.13424,,5.99743,,,,,,6.39243,,,,,7.92825,
COD,,,,,,8.37653,,,,,,,9.34639,,,9.7708,,
DJI,,,,,,,,,,,,8.32675,,,,,,
DOM,,11.2653,,,11.6864,,,12.1861,,,,,13.1809,,,,,
EGY,10.5076,,,,,11.0699,,,,,13.8152,,,14.0765,,,,
GNQ,,,,,,6.60012,,,,,,,,,,,,
ETH,,,,,,6.25229,,,,,6.36995,,,,,,7.7517,
GAB,,,,,,9.45932,,,,,,,,,,,,10.7279
GMB,,,,,,5.04184,,,,,7.54511,,,,,,,
GEO,,,,,,,,,,,14.9716,,,,,,,
GHA,,,,10.088,,,,,9.48331,,,9.96164,,10.5057,,,11.4077,
GIN,,,,,5.11165,,,,,,3.8691,,,,,,,
GNB,,,,,,5.35298,,,,,,7.07862,,,,,,
GUY,,,,,,10.951,,,,,,11.1856,,,11.4158,,,
HTI,,,,,,8.35416,,,,,10.5424,,,,,,,10.6101
HND,,,,,,,,,,,10.8204,,,,,,11.8867,
IND,,,,12.071,,,,,,,11.3961,,,,,,,
IDN,,,11.1552,,,,,11.7074,,,,,11.8897,,,,,13.0928
IRQ,,,,,,8.62182,,,,,,8.74474,,,,,10.4516,
JAM,,,,,,,,,,,11.3078,,,,,,,
JOR,,,13.3642,,,,,12.8168,,,,,13.4129,,,,,
KAZ,11.798,,,,12.1619,,,,,,,14.8905,,,,13.9041,,
KEN,,,,9.85942,,9.35209,,,,,,,,10.4994,,,,
KGZ,,,11.094,,,,,,,,13.4921,,,,,,,
LAO,,,,,,4.8721,,,,,,8.58439,,,,,12.8788,
LSO,,,,,,9.67723,,,,10.2082,,,,,10.8137,,,
LBR,,,,,,,,,,,,,7.9121,,,,,
MKD,,,,,,,,,,,13.1272,,,,,,14.6762,
MDG,,,7.96828,,,,,,8.66007,,,,,7.97969,,,,
MWI,,,,,,8.34632,,,,8.89586,,,,,,9.93404,,
MDV,,,,,,,,,,,,,,,10.7078,,,
MLI,2.9529,,,,,,4.18034,,,,,3.80525,,,,,,
MRT,,,,,,,,,,,,,8.12076,,,,,
MNG,,,,,,12.4236,,,,,13.2159,,,,,,,
MNE,,,,,,,,,,,13.6412,,,,,,,
MAR,,,,,,,,,8.23364,,,,,,,,,
MOZ,,,4.88032,,,,,,5.88692,,,,,6.89467,,,7.70329,
MMR,,,,,,7.9767,,,,,,,,,,,,
NAM,,,,,,10.3845,,,,,,11.4084,,,,,,
NPL,,5.82336,,,,,7.01246,,,,,7.97061,,,,,9.30244,
NIC,,,,9.55407,,,10.4051,,,,,,,,,,,
NER,,,,4.43718,,2.97318,,,,,,3.40116,,,,,,
NGA,,,,,10.0226,,,,10.5944,,,,,10.7684,,,12.4033,
PAK,,,,,,,,,,,,9.62234,,,,,,
PER,,12.0084,,,,12.0793,,,,,,,12.528,,,,,12.8473
PHL,,,,11.5238,,,,,12.5177,,,,,12.3763,,,,
MDA,,,,,,10.2374,,,,,13.3828,,,,,,,
RWA,,,,,,7.24072,,,,,6.1692,,,,,7.59898,,
STP,,,,,,8.62714,,,,,,,,8.76108,,,,
SEN,,,,,,,,,,,4.9693,,,,,5.8606,,
SRB,,,,,,,,,,,13.2206,,,,,14.0175,,
SLE,,,,,,5.54028,,,,,6.20046,,,5.91964,,7.66469,,
SOM,,,,,,,,,,,,3.31952,,,,,,
SUR,,,,,,10.6533,,,,,,10.8902,,,,12.0353,,
SWZ,,,,,,9.90158,,,,,,10.9079,,,,10.9174,,
SYR,,,,,,,,,,,,11.0759,,,,,,
TJK,,,,,,11.6536,,,,,10.6913,,,,,,,
