ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,0.158331,,
ALB,,,,,,8.53893,,,,,8.42164,,,8.35058,,,,
ARM,,,,,,10.316,,,,,9.6732,,,,,10.6908,,
AZE,,,,,,10.0574,,,,,,8.7017,,,,,,
BGD,,1.32206,,,1.97328,,,,,1.83156,,2.53903,3.20305,,,,3.42251,
BLR,,,,,,,,,,,10.8735,,,,,,,
BLZ,,,,,,,,,,,,6.84497,,,,,5.77051,
BEN,,0.106977,,,,,0.421941,,,,,0.410393,,,,,,
BTN,,,,,,,,,,,,,,,,1.62957,,
BOL,,,,3.57829,,4.8656,,,4.02768,,,,,5.79337,,,,
BIH,,,,,,9.53659,,,,,,9.63635,,,,,11.3764,
BFA,,,,0.289492,,,,,0.263208,,,0.225304,,,,0.347566,,
BDI,,,,,,2.31183,,,,,2.21877,,,,,1.76566,,
KHM,,,,,,2.51361,,,,,2.09603,,,,,3.47166,,
CMR,,,,2.92302,,,,,,1.90295,,1.21887,,,,,1.53671,
CAF,,,,,,1.12496,,,,,,1.07129,,,,,,
TCD,,0.315273,,,,0.450886,,,,0.0667617,,,,,,,,
COL,4.29725,,,,,5.46553,,,,,6.11731,,,,,7.43102,,
COM,,,,,,2.47536,,,,,,,,,,,,
COG,,,,,,,,,,,4.35195,,,,,,4.79995,
CIV,,,,2.71289,,1.14887,,,,,,1.1048,,,,,1.56974,
COD,,,,,,3.15325,,,,,,,2.92437,,,3.0836,,
DJI,,,,,,,,,,,,2.06354,,,,,,
DOM,,4.36898,,,5.76752,,,5.82188,,,,,6.37507,,,,,
EGY,3.18788,,,,,3.87081,,,,,3.65047,,,4.4434,,,,
GNQ,,,,,,4.74764,,,,,,,,,,,,
ETH,,,,,,0.561652,,,,,0.376864,,,,,,0.903974,
GAB,,,,,,5.24295,,,,,,,,,,,,6.82868
GMB,,,,,,0.445752,,,,,1.20055,,,,,,,
GEO,,,,,,,,,,,11.6541,,,,,,,
GHA,,,,2.22638,,,,,2.63332,,,2.7481,,2.44146,,,3.38406,
GIN,,,,,0.117976,,,,,,0.222315,,,,,,,
GNB,,,,,,0.341654,,,,,,0.503176,,,,,,
GUY,,,,,,8.0146,,,,,,7.58727,,,7.5922,,,
HTI,,,,,,2.05686,,,,,2.44628,,,,,,,4.15495
HND,,,,,,,,,,,3.78955,,,,,,5.59095,
IND,,,,2.25277,,,,,,,1.79981,,,,,,,
IDN,,,5.36462,,,,,6.57581,,,,,6.75029,,,,,7.28089
IRQ,,,,,,3.44142,,,,,,3.36375,,,,,2.63057,
JAM,,,,,,,,,,,9.97243,,,,,,,
JOR,,,9.77179,,,,,10.3049,,,,,10.6621,,,,,
KAZ,10.1912,,,,10.5132,,,,,,,11.7789,,,,12.3358,,
KEN,,,,6.43694,,6.32553,,,,,,,,6.32784,,,,
KGZ,,,9.62854,,,,,,,,11.0724,,,,,,,
LAO,,,,,,1.57846,,,,,,1.41859,,,,,2.09331,
LSO,,,,,,5.98298,,,,6.28861,,,,,6.54888,,,
LBR,,,,,,,,,,,,,1.83839,,,,,
MKD,,,,,,,,,,,7.76636,,,,,,8.73875,
MDG,,,2.43263,,,,,,2.15956,,,,,1.71726,,,,
MWI,,,,,,3.08085,,,,3.93148,,,,,,4.14339,,
MDV,,,,,,,,,,,,,,,8.89568,,,
MLI,0.150704,,,,,,0.203457,,,,,0.265845,,,,,,
MRT,,,,,,,,,,,,,2.02026,,,,,
MNG,,,,,,9.1872,,,,,7.19791,,,,,,,
MNE,,,,,,,,,,,9.02419,,,,,,,
MAR,,,,,,,,,0.582403,,,,,,,,,
MOZ,,,1.30497,,,,,,0.908468,,,,,1.33351,,,2.00061,
MMR,,,,,,3.53996,,,,,,,,,,,,
NAM,,,,,,6.45608,,,,,,6.87467,,,,,,
NPL,,0.966367,,,,,0.739315,,,,,1.5695,,,,,2.33074,
NIC,,,,2.6846,,,2.46953,,,,,,,,,,,
NER,,,,0.456189,,0.585317,,,,,,0.260958,,,,,,
NGA,,,,,2.70978,,,,2.19973,,,,,1.27456,,,2.2712,
PAK,,,,,,,,,,,,0.632001,,,,,,
PER,,5.18872,,,,5.14572,,,,,,,5.77011,,,,,7.47043
PHL,,,,6.9412,,,,,7.26934,,,,,7.51721,,,,
MDA,,,,,,9.34176,,,,,10.1542,,,,,,,
RWA,,,,,,3.24401,,,,,2.72164,,,,,2.97128,,
STP,,,,,,4.74372,,,,,,,,4.47884,,,,
SEN,,,,,,,,,,,0.41666,,,,,0.697414,,
SRB,,,,,,,,,,,9.41546,,,,,10.0108,,
SLE,,,,,,0.248469,,,,,0.622495,,,0.468708,,1.61959,,
SOM,,,,,,,,,,,,0.0849374,,,,,,
SUR,,,,,,3.53749,,,,,,5.01708,,,,5.66649,,
SWZ,,,,,,6.45036,,,,,,6.24668,,,,7.25276,,
SYR,,,,,,,,,,,,4.9193,,,,,,
TJK,,,,,,9.5,,,,,8.46612,,,,,,,
TZA,,4.8795,,,4.77184,,,,,3.04461,,,,,,3.37984,,
THA,,,,,,,,,,,7.96409,,,,,,,
TLS,,,,,,,,,,,,,,,4.86159,,,
TGO,,,,0.881373,,4.57058,,,,,,4.78089,,,,4.23947,,
TTO,,,,,,10.4337,,,,,,10.5846,,,,,,
TUR,,,,5.0628,,,,,4.72281,,,,,,,,,
UGA,3.00383,,,,,3.08098,,,,,,3.04928,,,,,3.83986,
UKR,,,,,,,,,,,11.502,,12.0213,,,,,
UZB,,10.0793,,,,,,,,,,8.98538,,,,,,
VEN,,,,,,6.53624,,,,,,,,,,,,
VNM,,,4.38961,,,3.97339,,4.83218,,,,4.54119,,,,6.80755,,
YEM,,,,,,,,,,,,0.5729,,,,,,
ZMB,,3.84927,,,,4.00535,3.85846,,,,,,4.1614,,,,,
ZWE,,,,,7.51689,,,,,,7.00561,,,,7.43032,8.49178,,
# Series: YRSCFELQ,,,,,,,,,,,,,,,,,,
"# Name: Mean years of schooling, lowest income quintile, female",,,,,,,,,,,,,,,,,,
# Definition: Average number of years of schooling attained for the age group 20–24 years.,,,,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report",,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
