ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,0.64946,,
ALB,,,,,,9.20826,,,,,9.44404,,,9.03399,,,,
ARM,,,,,,10.1331,,,,,10.3431,,,,,11.0921,,
AZE,,,,,,10.5011,,,,,,10.0361,,,,,,
BGD,,3.32708,,,4.13138,,,,,4.91985,,5.19155,5.72977,,,,6.11711,
BLR,,,,,,,,,,,11.1699,,,,,,,
BLZ,,,,,,,,,,,,8.26466,,,,,7.45632,
BEN,,0.615696,,,,,1.06725,,,,,1.40938,,,,,,
BTN,,,,,,,,,,,,,,,,4.06372,,
BOL,,,,5.29073,,5.75582,,,5.43233,,,,,7.31136,,,,
BIH,,,,,,10.2819,,,,,,10.8947,,,,,12.2457,
BFA,,,,0.353839,,,,,0.626739,,,1.34764,,,,0.755566,,
BDI,,,,,,3.73131,,,,,3.22147,,,,,3.03156,,
KHM,,,,,,3.40453,,,,,4.3404,,,,,5.68258,,
CMR,,,,4.86067,,,,,,3.76247,,3.56394,,,,,4.06792,
CAF,,,,,,1.34748,,,,,,1.76597,,,,,,
TCD,,0.422836,,,,0.618267,,,,0.820176,,,,,,,,
COL,5.13505,,,,,5.88785,,,,,7.0693,,,,,7.96301,,
COM,,,,,,3.66579,,,,,,,,,,,,
COG,,,,,,,,,,,5.62557,,,,,,5.95477,
CIV,,,,2.78218,,1.62387,,,,,,2.21533,,,,,2.53592,
COD,,,,,,3.50747,,,,,,,3.70846,,,3.87638,,
DJI,,,,,,,,,,,,1.88194,,,,,,
DOM,,6.37655,,,7.12428,,,8.59946,,,,,8.85946,,,,,
EGY,5.18875,,,,,6.27892,,,,,7.52235,,,8.37931,,,,
GNQ,,,,,,4.82218,,,,,,,,,,,,
ETH,,,,,,0.840752,,,,,0.96808,,,,,,2.26368,
GAB,,,,,,5.40628,,,,,,,,,,,,7.47425
GMB,,,,,,1.92352,,,,,2.72569,,,,,,,
GEO,,,,,,,,,,,12.6135,,,,,,,
GHA,,,,5.57591,,,,,4.89422,,,5.34503,,5.62538,,,6.47323,
GIN,,,,,0.437876,,,,,,0.561153,,,,,,,
GNB,,,,,,0.366638,,,,,,0.917581,,,,,,
GUY,,,,,,9.0359,,,,,,8.98966,,,9.38783,,,
