ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,4.22738,,
ALB,,,,,,11.9333,,,,,11.6482,,,12.5015,,,,
ARM,,,,,,12.0222,,,,,12.1637,,,,,12.9559,,
AZE,,,,,,12.0152,,,,,,11.9361,,,,,,
BGD,,6.73262,,,6.54495,,,,,6.36003,,7.09854,7.02728,,,,7.28303,
BLR,,,,,,,,,,,12.1813,,,,,,,
BLZ,,,,,,,,,,,,10.4743,,,,,9.50077,
BEN,,3.20303,,,,,3.91453,,,,,5.03664,,,,,,
BTN,,,,,,,,,,,,,,,,7.85478,,
BOL,,,,9.90173,,10.6887,,,10.3224,,,,,11.5914,,,,
BIH,,,,,,12.1423,,,,,,12.6266,,,,,13.0269,
BFA,,,,4.48301,,,,,5.70483,,,6.42909,,,,5.22696,,
BDI,,,,,,7.14062,,,,,7.6798,,,,,7.53241,,
KHM,,,,,,6.32041,,,,,6.92206,,,,,8.84279,,
CMR,,,,8.2791,,,,,,7.93097,,8.4397,,,,,8.71289,
CAF,,,,,,5.3291,,,,,,5.65824,,,,,,
TCD,,2.5827,,,,4.22928,,,,4.2325,,,,,,,,
COL,9.0356,,,,,10.0152,,,,,10.6237,,,,,10.9385,,
COM,,,,,,5.64103,,,,,,,,,,,,
COG,,,,,,,,,,,8.44108,,,,,,9.10072,
CIV,,,,6.16207,,4.40174,,,,,,5.02221,,,,,6.2685,
COD,,,,,,7.52396,,,,,,,7.86632,,,8.57969,,
DJI,,,,,,,,,,,,5.54246,,,,,,
DOM,,9.87266,,,10.7338,,,10.9609,,,,,11.1959,,,,,
EGY,9.53004,,,,,10.4813,,,,,11.1283,,,12.0189,,,,
GNQ,,,,,,6.81615,,,,,,,,,,,,
ETH,,,,,,5.83999,,,,,7.46018,,,,,,7.54803,
GAB,,,,,,8.3086,,,,,,,,,,,,9.22334
GMB,,,,,,4.38751,,,,,6.08842,,,,,,,
GEO,,,,,,,,,,,14.5818,,,,,,,
GHA,,,,8.55774,,,,,8.24241,,,8.56349,,8.82416,,,9.4423,
GIN,,,,,3.76384,,,,,,3.40509,,,,,,,
GNB,,,,,,4.56561,,,,,,5.82049,,,,,,
GUY,,,,,,10.3231,,,,,,10.57,,,11.063,,,
HTI,,,,,,7.7289,,,,,8.55828,,,,,,,9.30791
HND,,,,,,,,,,,8.90444,,,,,,10.5365,
IND,,,,10.3824,,,,,,,9.05137,,,,,,,
