ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,7.87384,,
ALB,,,,,,10.6287,,,,,12.3827,,,13.1324,,,,
ARM,,,,,,11.1497,,,,,12.5807,,,,,12.5682,,
AZE,,,,,,13.2,,,,,,12.4245,,,,,,
BGD,,8.81287,,,9.54311,,,,,8.7118,,9.33168,8.47758,,,,9.19828,
BLR,,,,,,,,,,,12.3396,,,,,,,
BLZ,,,,,,,,,,,,11.3804,,,,,10.2247,
BEN,,6.84387,,,,,8.38294,,,,,9.58185,,,,,,
BTN,,,,,,,,,,,,,,,,10.9712,,
BOL,,,,12.067,,13.3336,,,13.3059,,,,,13.8271,,,,
BIH,,,,,,11.2338,,,,,,12.4365,,,,,13.0407,
BFA,,,,5.93259,,,,,7.07347,,,5.52972,,,,7.4563,,
BDI,,,,,,6.33071,,,,,6.12049,,,,,7.51734,,
KHM,,,,,,8.42487,,,,,9.57288,,,,,10.1638,,
CMR,,,,10.1915,,,,,,10.0952,,10.2597,,,,,11.1598,
CAF,,,,,,7.74523,,,,,,8.30578,,,,,,
TCD,,6.44672,,,,8.44887,,,,6.90645,,,,,,,,
COL,9.94821,,,,,10.1946,,,,,12.162,,,,,12.1136,,
COM,,,,,,7.08204,,,,,,,,,,,,
COG,,,,,,,,,,,10.4795,,,,,,11.0732,
CIV,,,,9.39094,,8.38001,,,,,,9.21282,,,,,9.48873,
COD,,,,,,9.08118,,,,,,,10.7749,,,10.4229,,
DJI,,,,,,,,,,,,11.1299,,,,,,
DOM,,10.3179,,,10.7935,,,11.4241,,,,,12.5197,,,,,
EGY,11.3478,,,,,12.3378,,,,,13.9435,,,14.2226,,,,
GNQ,,,,,,8.02379,,,,,,,,,,,,
ETH,,,,,,7.73656,,,,,7.83741,,,,,,9.59811,
GAB,,,,,,9.03217,,,,,,,,,,,,11.5712
GMB,,,,,,7.75065,,,,,9.08493,,,,,,,
GEO,,,,,,,,,,,15.0029,,,,,,,
