ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,,,,,,,,4.06346,,
ALB,,,,,,9.43591,,,,,9.55896,,,9.24271,,,,
ARM,,,,,,9.86716,,,,,9.67056,,,,,10.212,,
AZE,,,,,,10.9665,,,,,,10.5471,,,,,,
BGD,,4.82157,,,5.18266,,,,,5.75044,,5.773,5.66928,,,,5.75443,
BLR,,,,,,,,,,,10.8521,,,,,,,
BLZ,,,,,,,,,,,,7.70274,,,,,7.31968,
BEN,,2.40472,,,,,2.94663,,,,,4.5509,,,,,,
BTN,,,,,,,,,,,,,,,,5.40235,,
BOL,,,,6.56076,,7.38663,,,7.48185,,,,,8.80882,,,,
BIH,,,,,,10.8636,,,,,,11.3129,,,,,11.8214,
BFA,,,,1.17413,,,,,1.22599,,,2.6131,,,,1.69098,,
BDI,,,,,,4.68337,,,,,3.86973,,,,,4.72562,,
KHM,,,,,,4.96002,,,,,5.8024,,,,,6.47478,,
CMR,,,,6.38043,,,,,,4.81265,,5.42822,,,,,6.0893,
CAF,,,,,,3.45239,,,,,,3.78924,,,,,,
TCD,,2.33984,,,,3.27778,,,,3.17394,,,,,,,,
COL,4.73062,,,,,5.68497,,,,,6.62395,,,,,7.25607,,
COM,,,,,,5.53897,,,,,,,,,,,,
COG,,,,,,,,,,,7.00723,,,,,,7.27185,
CIV,,,,2.80255,,3.48013,,,,,,4.42296,,,,,4.0311,
COD,,,,,,5.98427,,,,,,,6.55209,,,6.40713,,
DJI,,,,,,,,,,,,4.22533,,,,,,
DOM,,5.20849,,,7.04966,,,6.83598,,,,,7.11672,,,,,
EGY,8.56826,,,,,9.40483,,,,,9.82194,,,10.0292,,,,
GNQ,,,,,,5.74953,,,,,,,,,,,,
ETH,,,,,,1.91731,,,,,2.75797,,,,,,4.23494,
GAB,,,,,,6.18616,,,,,,,,,,,,6.89171
GMB,,,,,,3.71518,,,,,4.88598,,,,,,,
GEO,,,,,,,,,,,12.598,,,,,,,
GHA,,,,7.58123,,,,,6.51818,,,6.50407,,7.42738,,,7.53476,
GIN,,,,,1.82013,,,,,,2.30512,,,,,,,
GNB,,,,,,2.0716,,,,,,3.31028,,,,,,
GUY,,,,,,8.91737,,,,,,8.60069,,,9.05228,,,
HTI,,,,,,4.54387,,,,,6.29932,,,,,,,6.65193
HND,,,,,,,,,,,4.64348,,,,,,5.97014,
IND,,,,7.19364,,,,,,,7.5215,,,,,,,
IDN,,,7.53113,,,,,7.97837,,,,,8.56096,,,,,8.87318
IRQ,,,,,,6.51809,,,,,,6.75864,,,,,6.07565,
JAM,,,,,,,,,,,10.6723,,,,,,,
JOR,,,10.2692,,,,,11.1711,,,,,11.5098,,,,,
KAZ,10.2816,,,,10.3039,,,,,,,11.6635,,,,12.3766,,
KEN,,,,8.22858,,10.0451,,,,,,,,8.57697,,,,
KGZ,,,9.26114,,,,,,,,11.0626,,,,,,,
LAO,,,,,,4.44847,,,,,,4.99358,,,,,6.5689,
LSO,,,,,,5.55624,,,,5.66111,,,,,5.95016,,,
LBR,,,,,,,,,,,,,5.0884,,,,,
MKD,,,,,,,,,,,9.97049,,,,,,11.7038,
MDG,,,3.02652,,,,,,3.66756,,,,,3.99804,,,,
MWI,,,,,,5.69718,,,,6.39738,,,,,,6.80111,,
MDV,,,,,,,,,,,,,,,8.96159,,,
MLI,0.988448,,,,,,0.757187,,,,,1.15278,,,,,,
MRT,,,,,,,,,,,,,4.78199,,,,,
MNG,,,,,,8.65017,,,,,6.90369,,,,,,,
MNE,,,,,,,,,,,11.2839,,,,,,,
MAR,,,,,,,,,3.71852,,,,,,,,,
MOZ,,,3.07433,,,,,,3.11791,,,,,4.7304,,,5.03215,
MMR,,,,,,4.98797,,,,,,,,,,,,
NAM,,,,,,6.75697,,,,,,7.1709,,,,,,
NPL,,5.14801,,,,,5.65137,,,,,6.54224,,,,,7.55637,
NIC,,,,3.90353,,,3.79593,,,,,,,,,,,
NER,,,,1.54189,,1.96456,,,,,,1.18461,,,,,,
NGA,,,,,7.20825,,,,6.89939,,,,,7.23171,,,8.7996,
PAK,,,,,,,,,,,,6.05428,,,,,,
PER,,7.69433,,,,8.27935,,,,,,,8.94302,,,,,9.40042
PHL,,,,8.00303,,,,,8.4066,,,,,8.65623,,,,
MDA,,,,,,9.52942,,,,,10.2523,,,,,,,
RWA,,,,,,3.85401,,,,,3.65584,,,,,4.88378,,
STP,,,,,,6.75424,,,,,,,,5.71006,,,,
SEN,,,,,,,,,,,1.80374,,,,,2.2152,,
SRB,,,,,,,,,,,10.869,,,,,11.444,,
SLE,,,,,,2.11776,,,,,7.49287,,,2.63156,,5.24965,,
SOM,,,,,,,,,,,,1.95606,,,,,,
SUR,,,,,,6.2777,,,,,,6.88491,,,,7.86636,,
SWZ,,,,,,7.36575,,,,,,8.04763,,,,8.39866,,
SYR,,,,,,,,,,,,7.99034,,,,,,
TJK,,,,,,10.9751,,,,,10.7052,,,,,,,
TZA,,5.76509,,,5.83703,,,,,5.20284,,,,,,6.14459,,
THA,,,,,,,,,,,10.9848,,,,,,,
TLS,,,,,,,,,,,,,,,7.38912,,,
TGO,,,,4.02518,,6.49588,,,,,,7.13713,,,,7.28938,,
TUR,,,,7.36082,,,,,7.66096,,,,,,,,,
UGA,5.38911,,,,,6.04199,,,,,,6.50199,,,,,6.70785,
UKR,,,,,,,,,,,11.367,,12.4806,,,,,
UZB,,10.7273,,,,,,,,,,8.50666,,,,,,
VEN,,,,,,8.60989,,,,,,,,,,,,
VNM,,,7.28629,,,7.16463,,7.26745,,,,7.94461,,,,8.29818,,
YEM,,,,,,,,,,,,8.5287,,,,,,
ZMB,,5.76419,,,,9.00047,6.16375,,,,,,6.5993,,,,,
ZWE,,,,,8.34253,,,,,,8.87675,,,,8.95904,9.97747,,
# Series: YRSCMARU,,,,,,,,,,,,,,,,,,
"# Name: Mean years of schooling, rural, male",,,,,,,,,,,,,,,,,,
# Definition: Average number of years of schooling attained for the age group 20–24 years.,,,,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Educational For All Monitoring Project (EFA) Global Monitoring Report",,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
