ISO,1990
AFG,1963
ALB,1920
DZA,1962
AND,1973
AGO,1975
ATG,1951
ARG,1947
ARM,1921
AUS,1962
AUT,1918
AZE,1921
BHS,1964
BHR,1973
BGD,1972
BRB,1950
BLR,1919
BEL,1948
BLZ,1954
BEN,1956
BTN,1953
BOL,1952
BIH,1949
BWA,1965
BRA,1932
BGR,1944
BFA,1958
BDI,1961
KHM,1955
CMR,1946
CAN,1960
CPV,1975
CAF,1986
TCD,1958
CHL,1949
CHN,1949
COL,1954
COM,1956
COG,1963
CRI,1949
CIV,1952
HRV,1945
CUB,1934
CYP,1960
CZE,1920
PRK,1946
COD,1970
DNK,1915
DJI,1986
DMA,1951
DOM,1942
ECU,1967
EGY,1956
SLV,1961
GNQ,1963
ERI,1955
EST,1918
ETH,1955
FJI,1963
FIN,1906
FRA,1944
GAB,1956
GMB,1960
GEO,1921
DEU,1918
GHA,1954
GRC,1952
GRD,1951
GTM,1965
GIN,1958
GNB,1977
GUY,1945
HTI,1950
HND,1955
HUN,1918
ISL,1920
IND,1950
IDN,1945
IRN,1963
IRQ,1980
IRL,1928
ISR,1948
ITA,1945
JAM,1944
JPN,1947
JOR,1974
KAZ,1924
KEN,1963
KIR,1967
KWT,2005
KGZ,1918
LAO,1958
LVA,1918
LBN,1952
LSO,1965
LBR,1946
LBY,1964
LIE,1984
LTU,1919
LUX,1919
MKD,1946
MDG,1959
MWI,1961
MYS,1957
MDV,1932
MLI,1956
MLT,1947
MHL,1979
MRT,1961
MUS,1956
MEX,1953
FSM,1979
MCO,1962
MNG,1924
MAR,1963
MOZ,1975
MMR,1946
NAM,1989
NRU,1968
NPL,1951
NLD,1917
NZL,1919
NIC,1955
NER,1948
NGA,1978
NOR,1913
OMN,2003
PAK,1947
PLW,1979
PAN,1946
PNG,1963
PRY,1961
PER,1955
PHL,1937
POL,1918
PRT,1976
KOR,1948
MDA,1978
ROU,1946
RUS,1918
RWA,1961
KNA,1951
LCA,1951
VCT,1951
WSM,1990
SMR,1973
STP,1975
SEN,1945
SYC,1948
SLE,1961
SGP,1947
SVK,1920
SVN,1945
SLB,1974
SOM,1956
ZAF,1994
ESP,1931
LKA,1931
SDN,1964
SUR,1948
SWZ,1968
SWE,1921
CHE,1971
SYR,1953
TJK,1924
TZA,1959
THA,1932
TGO,1945
TON,1960
TTO,1946
TUN,1959
TUR,1934
TKM,1927
TUV,1967
UGA,1962
UKR,1919
GBR,1928
USA,1788
URY,1932
UZB,1938
VUT,1980
VEN,1946
VNM,1946
YEM,1970
ZMB,1962
ZWE,1978
# Series: YRWOTRSE,
# Name: Year women obtained the right to stand for election,
# Definition: The latest year women obtained the right to stand for election,
"# Source: UN Women, Progress of the World’s Women 2011",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
